asset_id,category,source,source_identifier,relative_path,kind,required_by,expected_shape,status,bytes,sha256,archive_doi,notes
sentinel2_urban,primary_input,Copernicus Sentinel-2 L2A,S2B_MSIL2A_20260527T105619_N0512_R094_T31UDQ_20260527T133135,notebooks/data/urban_data.zarr,zarr,test-resample-paper.ipynb;noise_sensitivity.ipynb;real_groundtruth_downscale.ipynb,256x256 native 10 m patch,missing,,,,"Must retain B04, projected/geographic coordinates, CRS and source provenance attributes."
esri_latent_urban,primary_input,Esri World Imagery,zoom=17;scene=urban,notebooks/data/esri_latent/urban__z17_n256_os4.zarr,zarr,test-resample-paper.ipynb;noise_sensitivity.ipynb,latent_hr:1024x1024 float32;x_hr:1024;y_hr:1024,missing,,,,PSF-independent luminance texture sampled on the frozen Sentinel grid.
sentinel2_water,primary_input,Copernicus Sentinel-2 L2A,S2A_MSIL2A_20260624T103041_N0512_R108_T32TLS_20260624T182910,notebooks/data/water_data.zarr,zarr,test-resample-paper.ipynb;noise_sensitivity.ipynb;real_groundtruth_downscale.ipynb,256x256 native 10 m patch,missing,,,,"Must retain B04, projected/geographic coordinates, CRS and source provenance attributes."
esri_latent_water,primary_input,Esri World Imagery,zoom=17;scene=water,notebooks/data/esri_latent/water__z17_n256_os4.zarr,zarr,test-resample-paper.ipynb;noise_sensitivity.ipynb,latent_hr:1024x1024 float32;x_hr:1024;y_hr:1024,missing,,,,PSF-independent luminance texture sampled on the frozen Sentinel grid.
sentinel2_forest,primary_input,Copernicus Sentinel-2 L2A,S2A_MSIL2A_20260704T102701_N0512_R108_T32UMU_20260704T170718,notebooks/data/forest_data.zarr,zarr,test-resample-paper.ipynb;noise_sensitivity.ipynb;real_groundtruth_downscale.ipynb,256x256 native 10 m patch,missing,,,,"Must retain B04, projected/geographic coordinates, CRS and source provenance attributes."
esri_latent_forest,primary_input,Esri World Imagery,zoom=17;scene=forest,notebooks/data/esri_latent/forest__z17_n256_os4.zarr,zarr,test-resample-paper.ipynb;noise_sensitivity.ipynb,latent_hr:1024x1024 float32;x_hr:1024;y_hr:1024,missing,,,,PSF-independent luminance texture sampled on the frozen Sentinel grid.
sentinel2_agriculture,primary_input,Copernicus Sentinel-2 L2A,S2B_MSIL2A_20260623T104619_N0512_R051_T31UCP_20260623T132606,notebooks/data/agriculture_data.zarr,zarr,test-resample-paper.ipynb;noise_sensitivity.ipynb;real_groundtruth_downscale.ipynb,256x256 native 10 m patch,missing,,,,"Must retain B04, projected/geographic coordinates, CRS and source provenance attributes."
esri_latent_agriculture,primary_input,Esri World Imagery,zoom=17;scene=agriculture,notebooks/data/esri_latent/agriculture__z17_n256_os4.zarr,zarr,test-resample-paper.ipynb;noise_sensitivity.ipynb,latent_hr:1024x1024 float32;x_hr:1024;y_hr:1024,missing,,,,PSF-independent luminance texture sampled on the frozen Sentinel grid.
esri_multipatch_urban__singapore__r0c0,primary_input,Esri World Imagery,zoom=17;lat=1.2541021198934994;lon=103.81596794666491,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__singapore__r0c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__singapore__r0c1,primary_input,Esri World Imagery,zoom=17;lat=1.2541182383741496;lon=103.85191599538406,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__singapore__r0c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__singapore__r0c2,primary_input,Esri World Imagery,zoom=17;lat=1.254133860201693;lon=103.88786449936873,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__singapore__r0c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__singapore__r1c0,primary_input,Esri World Imagery,zoom=17;lat=1.2902834163465642;lon=103.81595145072481,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__singapore__r1c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__singapore__r1c1,primary_input,Esri World Imagery,zoom=17;lat=1.2902999999999998;lon=103.8519,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__singapore__r1c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__singapore__r1c2,primary_input,Esri World Imagery,zoom=17;lat=1.290316072667127;lon=103.88784900457223,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__singapore__r1c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
