scene,geoloc_sigma_px,geoloc_sigma_m,lam,rmse_vs_no_psf,rmse_std,n_realizations,n_cells
agriculture,0.0,0.0,0.01,0.015642889915111074,0.0,1,169654
agriculture,0.1,1.0,0.01,0.019807009397380358,0.00010006065632667218,10,169654
agriculture,0.2,2.0,0.01,0.031504825748445035,0.0002857575608561614,10,169654
agriculture,0.4,4.0,0.01,0.05995282743483519,0.0006294887402418021,10,169649
forest,0.0,0.0,0.01,0.02446555948974928,0.0,1,169683
forest,0.1,1.0,0.01,0.0280962598003002,7.97111156305829e-05,10,169683
forest,0.2,2.0,0.01,0.03937823025148405,0.0002783219456177893,10,169683
forest,0.4,4.0,0.01,0.06940489609493965,0.0005029421388229386,10,169678
urban,0.0,0.0,0.01,0.069278550695793,0.0,1,169675
urban,0.1,1.0,0.01,0.07871668217646328,9.871916131249155e-05,10,169675
urban,0.2,2.0,0.01,0.10842399141675534,0.0003776294206351199,10,169675
urban,0.4,4.0,0.01,0.18845851160532617,0.0013766760028028906,10,169665
water,0.0,0.0,0.01,0.02143975195982729,0.0,1,169644
water,0.1,1.0,0.01,0.025239128812356564,0.000128026747311694,10,169644
water,0.2,2.0,0.01,0.03655668991679841,0.00043871622657350683,10,169644
water,0.4,4.0,0.01,0.06522746093857752,0.0007918594963113036,10,169640
