scene,geoloc_sigma_px,geoloc_sigma_m,realization,seed,lam,rmse_vs_no_psf,n_cells
urban,0.0,0.0,-1,,0.01,0.0692645358772546,169675
urban,0.1,1.0,0,2234.0,0.01,0.07864075684807256,169675
urban,0.1,1.0,1,2235.0,0.01,0.07863167661364409,169675
urban,0.1,1.0,2,2236.0,0.01,0.07855700562031863,169675
urban,0.1,1.0,3,2237.0,0.01,0.07867891413817055,169675
urban,0.1,1.0,4,2238.0,0.01,0.07886464784015398,169675
urban,0.1,1.0,5,2239.0,0.01,0.07871810851620802,169675
urban,0.1,1.0,6,2240.0,0.01,0.07872043388405645,169675
urban,0.1,1.0,7,2241.0,0.01,0.07859682818266343,169675
urban,0.1,1.0,8,2242.0,0.01,0.07882820994298297,169675
urban,0.1,1.0,9,2243.0,0.01,0.07875400385525655,169675
urban,0.2,2.0,0,3234.0,0.01,0.10849162465144102,169675
urban,0.2,2.0,1,3235.0,0.01,0.10830955638922352,169675
urban,0.2,2.0,2,3236.0,0.01,0.10872040936744269,169675
urban,0.2,2.0,3,3237.0,0.01,0.1088314978880512,169675
urban,0.2,2.0,4,3238.0,0.01,0.1087490280141511,169675
urban,0.2,2.0,5,3239.0,0.01,0.10866283702320045,169675
urban,0.2,2.0,6,3240.0,0.01,0.1081661270718973,169675
urban,0.2,2.0,7,3241.0,0.01,0.10828302917918485,169675
urban,0.2,2.0,8,3242.0,0.01,0.10814732480553621,169674
urban,0.2,2.0,9,3243.0,0.01,0.1075925973934816,169674
urban,0.4,4.0,0,5234.0,0.01,0.1874404254617326,169665
urban,0.4,4.0,1,5235.0,0.01,0.18890997247075453,169665
urban,0.4,4.0,2,5236.0,0.01,0.18744186737922294,169672
urban,0.4,4.0,3,5237.0,0.01,0.19089207234245428,169666
urban,0.4,4.0,4,5238.0,0.01,0.1883460126860448,169664
urban,0.4,4.0,5,5239.0,0.01,0.18813124979940227,169669
urban,0.4,4.0,6,5240.0,0.01,0.18823534262174155,169672
urban,0.4,4.0,7,5241.0,0.01,0.18820587155576296,169670
urban,0.4,4.0,8,5242.0,0.01,0.19027747615195603,169670
urban,0.4,4.0,9,5243.0,0.01,0.18615093407077676,169669
water,0.0,0.0,-1,,0.01,0.021427795870886637,169644
water,0.1,1.0,0,202234.0,0.01,0.0252071150003661,169644
water,0.1,1.0,1,202235.0,0.01,0.025204708635174745,169644
water,0.1,1.0,2,202236.0,0.01,0.025074832353810698,169644
water,0.1,1.0,3,202237.0,0.01,0.02523791904883068,169644
water,0.1,1.0,4,202238.0,0.01,0.025147883486876087,169644
water,0.1,1.0,5,202239.0,0.01,0.025328866174470627,169644
water,0.1,1.0,6,202240.0,0.01,0.025412127113304192,169644
water,0.1,1.0,7,202241.0,0.01,0.02537053542885019,169644
water,0.1,1.0,8,202242.0,0.01,0.025274000491440275,169644
water,0.1,1.0,9,202243.0,0.01,0.025004527773013294,169644
water,0.2,2.0,0,203234.0,0.01,0.03640490443225832,169644
water,0.2,2.0,1,203235.0,0.01,0.03648076269430858,169644
water,0.2,2.0,2,203236.0,0.01,0.03633131597656378,169644
water,0.2,2.0,3,203237.0,0.01,0.03633771089238702,169644
water,0.2,2.0,4,203238.0,0.01,0.036600804617534344,169644
water,0.2,2.0,5,203239.0,0.01,0.036550997273524254,169644
water,0.2,2.0,6,203240.0,0.01,0.037431388658994445,169644
water,0.2,2.0,7,203241.0,0.01,0.0369812793719586,169644
water,0.2,2.0,8,203242.0,0.01,0.03653120923657014,169644
water,0.2,2.0,9,203243.0,0.01,0.03574910933299637,169644
water,0.4,4.0,0,205234.0,0.01,0.06503126321945003,169640
water,0.4,4.0,1,205235.0,0.01,0.06440418886431452,169638
water,0.4,4.0,2,205236.0,0.01,0.06476035437675329,169637
water,0.4,4.0,3,205237.0,0.01,0.06429753819260074,169638
water,0.4,4.0,4,205238.0,0.01,0.06540670160315931,169630
water,0.4,4.0,5,205239.0,0.01,0.06559583435774068,169640
water,0.4,4.0,6,205240.0,0.01,0.06644993033039992,169640
water,0.4,4.0,7,205241.0,0.01,0.06652256356542555,169639
water,0.4,4.0,8,205242.0,0.01,0.06494448956644083,169641
water,0.4,4.0,9,205243.0,0.01,0.0645711095476268,169636
forest,0.0,0.0,-1,,0.01,0.024433052663665716,169683
forest,0.1,1.0,0,402234.0,0.01,0.028156542660225287,169683
forest,0.1,1.0,1,402235.0,0.01,0.02815736591477166,169683
forest,0.1,1.0,2,402236.0,0.01,0.02801927541835412,169683
forest,0.1,1.0,3,402237.0,0.01,0.02799743688195561,169683
forest,0.1,1.0,4,402238.0,0.01,0.027908132694255152,169683
forest,0.1,1.0,5,402239.0,0.01,0.028031067421880048,169683
forest,0.1,1.0,6,402240.0,0.01,0.028069419383621213,169683
forest,0.1,1.0,7,402241.0,0.01,0.028121956591779983,169683
forest,0.1,1.0,8,402242.0,0.01,0.0281259570041699,169683
forest,0.1,1.0,9,402243.0,0.01,0.028035181707903287,169683
forest,0.2,2.0,0,403234.0,0.01,0.03904055220700364,169683
forest,0.2,2.0,1,403235.0,0.01,0.039834764699095894,169683
forest,0.2,2.0,2,403236.0,0.01,0.03949607989532291,169683
forest,0.2,2.0,3,403237.0,0.01,0.03933955542569783,169683
forest,0.2,2.0,4,403238.0,0.01,0.03931267591477037,169683
forest,0.2,2.0,5,403239.0,0.01,0.038839082073599984,169683
forest,0.2,2.0,6,403240.0,0.01,0.03921100106256848,169683
forest,0.2,2.0,7,403241.0,0.01,0.039546839608365844,169683
forest,0.2,2.0,8,403242.0,0.01,0.03927218262085899,169683
forest,0.2,2.0,9,403243.0,0.01,0.03948865346940577,169683
forest,0.4,4.0,0,405234.0,0.01,0.06886766094627256,169678
forest,0.4,4.0,1,405235.0,0.01,0.06992628460797216,169674
forest,0.4,4.0,2,405236.0,0.01,0.06914257480148038,169675
forest,0.4,4.0,3,405237.0,0.01,0.06961401846427281,169676
forest,0.4,4.0,4,405238.0,0.01,0.0689877703714124,169669
forest,0.4,4.0,5,405239.0,0.01,0.06967036318194252,169674
forest,0.4,4.0,6,405240.0,0.01,0.06965248189091133,169673
forest,0.4,4.0,7,405241.0,0.01,0.06879597274618462,169677
forest,0.4,4.0,8,405242.0,0.01,0.06869525368427934,169679
forest,0.4,4.0,9,405243.0,0.01,0.07007754113882432,169677
agriculture,0.0,0.0,-1,,0.01,0.015634734590961482,169654
agriculture,0.1,1.0,0,602234.0,0.01,0.01985742920409247,169654
agriculture,0.1,1.0,1,602235.0,0.01,0.019867065861161756,169654
agriculture,0.1,1.0,2,602236.0,0.01,0.019883119485829517,169654
agriculture,0.1,1.0,3,602237.0,0.01,0.019726273699281673,169654
agriculture,0.1,1.0,4,602238.0,0.01,0.019813943982282506,169654
agriculture,0.1,1.0,5,602239.0,0.01,0.019762103324028363,169654
agriculture,0.1,1.0,6,602240.0,0.01,0.019705496329975074,169654
agriculture,0.1,1.0,7,602241.0,0.01,0.019952355230270547,169654
agriculture,0.1,1.0,8,602242.0,0.01,0.019610814707581935,169654
agriculture,0.1,1.0,9,602243.0,0.01,0.019777789100795178,169654
agriculture,0.2,2.0,0,603234.0,0.01,0.031325820779155904,169654
agriculture,0.2,2.0,1,603235.0,0.01,0.031194408570490714,169654
agriculture,0.2,2.0,2,603236.0,0.01,0.031625072034429526,169654
agriculture,0.2,2.0,3,603237.0,0.01,0.031886866775532895,169654
agriculture,0.2,2.0,4,603238.0,0.01,0.03173424035797857,169654
agriculture,0.2,2.0,5,603239.0,0.01,0.031079892317678215,169654
agriculture,0.2,2.0,6,603240.0,0.01,0.03154875264919224,169654
agriculture,0.2,2.0,7,603241.0,0.01,0.031433960721152815,169654
agriculture,0.2,2.0,8,603242.0,0.01,0.03182936154553493,169654
agriculture,0.2,2.0,9,603243.0,0.01,0.031187176597051804,169654
agriculture,0.4,4.0,0,605234.0,0.01,0.059638942458782235,169649
agriculture,0.4,4.0,1,605235.0,0.01,0.05901725880642234,169648
agriculture,0.4,4.0,2,605236.0,0.01,0.06082139164539274,169648
agriculture,0.4,4.0,3,605237.0,0.01,0.06003105836627891,169647
agriculture,0.4,4.0,4,605238.0,0.01,0.05992243109766801,169648
agriculture,0.4,4.0,5,605239.0,0.01,0.05939261220896836,169643
agriculture,0.4,4.0,6,605240.0,0.01,0.06089550507208146,169645
agriculture,0.4,4.0,7,605241.0,0.01,0.06012896544484896,169650
agriculture,0.4,4.0,8,605242.0,0.01,0.059181599972451655,169648
agriculture,0.4,4.0,9,605243.0,0.01,0.060110435916872804,169648
