scene,method,rmse,mae,corr
urban,nearest,0.0711507722735405,0.051432568579912186,0.9224089309675946
urban,linear,0.03602144122123718,0.02622055448591709,0.9778438547961963
urban,cubic,0.03552369028329849,0.02637464553117752,0.9806155470395361
water,nearest,0.0227859765291214,0.006979017984122038,0.982244162119251
water,linear,0.010655681602656841,0.0033584062475711107,0.9960146081161064
water,cubic,0.010484419763088226,0.00339527428150177,0.9962553404719903
forest,nearest,0.02481165900826454,0.016621556133031845,0.9789709030639947
forest,linear,0.01257236860692501,0.008762020617723465,0.9944520165476994
forest,cubic,0.01252765953540802,0.008876664564013481,0.9946137235431789
agriculture,nearest,0.017223935574293137,0.009902602061629295,0.9919776729740885
agriculture,linear,0.008216464892029762,0.005029596854001284,0.9981629343009437
agriculture,cubic,0.008107992820441723,0.00507857371121645,0.9982252464078366
