scene_class,abs_latitude_band,method,n_regions,n_patches,rmse_mean,rmse_sd,recovery_mean,recovery_sd
agriculture,00-15,bicubic,1,9,0.019201770526896537,,-0.13013272080018753,
agriculture,00-15,bilinear,1,9,0.021200812815518978,,-0.24715250095505883,
agriculture,00-15,blurred_observation,1,9,0.016979722188905255,,0.0,
agriculture,00-15,nearest,1,9,0.02049020959508211,,-0.20567462942824624,
agriculture,00-15,psf_aware_matched,1,9,0.013578650412147342,,0.1976305687118263,
agriculture,00-15,psf_aware_minus50,1,9,0.019660821109595147,,-0.157480917658551,
agriculture,00-15,psf_aware_plus50,1,9,0.02527530076997164,,-0.4883834867737906,
agriculture,30-45,bicubic,6,54,0.034461401695766496,0.015020150916239481,-0.14222360585512267,0.016576382974612724
agriculture,30-45,bilinear,6,54,0.03787540428767161,0.01628915251839008,-0.25888295693314417,0.029620329744774167
agriculture,30-45,blurred_observation,6,54,0.03025201146116513,0.013307840529668933,0.0,0.0
agriculture,30-45,nearest,6,54,0.036429766796981296,0.01570837304494816,-0.21006730440126806,0.023078703479581106
agriculture,30-45,psf_aware_matched,6,54,0.024591638761520374,0.011125210978089311,0.19067140060277396,0.02927477840381355
agriculture,30-45,psf_aware_minus50,6,54,0.03486861280162958,0.015078124649897655,-0.1575635307314529,0.01630826616290476
agriculture,30-45,psf_aware_plus50,6,54,0.04695695034449318,0.019937500706823603,-0.5664254171568498,0.08717549279888065
agriculture,45-60,bicubic,3,27,0.0295829487690082,0.005027612080855924,-0.1405003451276606,0.008406056041801597
agriculture,45-60,bilinear,3,27,0.03269818066632251,0.005487873477761009,-0.26125526873092747,0.022898071135623966
agriculture,45-60,blurred_observation,3,27,0.025937501204180594,0.004465137007027988,0.0,0.0
agriculture,45-60,nearest,3,27,0.03138455552735608,0.005265643284168565,-0.21061011483998873,0.018020543741706654
agriculture,45-60,psf_aware_matched,3,27,0.020623727121127162,0.0036668800386399263,0.20471277803646684,0.025633680540620152
agriculture,45-60,psf_aware_minus50,3,27,0.029888411415828337,0.005018099220653037,-0.15312174442907944,0.010944163593197258
agriculture,45-60,psf_aware_plus50,3,27,0.04144180875513597,0.006833809238369175,-0.5982116383439346,0.05379383719339082
forest,00-15,bicubic,3,27,0.035886029696807126,0.025603755304460508,-0.1245331050286898,0.010679066788088028
forest,00-15,bilinear,3,27,0.0389358238500595,0.028186905639812222,-0.21487625905182606,0.023484350839302656
forest,00-15,blurred_observation,3,27,0.0317638113448487,0.022345151448098864,0.0,0.0
forest,00-15,nearest,3,27,0.03761065224194232,0.02711085702214402,-0.17552357279310082,0.019343603420631617
forest,00-15,psf_aware_matched,3,27,0.026522348651815002,0.018024212629299714,0.15579529800784098,0.019265727590742656
forest,00-15,psf_aware_minus50,3,27,0.03612838513058904,0.025913891274599445,-0.13135276378982114,0.014867262113870823
forest,00-15,psf_aware_plus50,3,27,0.048056091283556,0.035204102401279184,-0.4911243203247077,0.04196699671421142
forest,30-45,bicubic,4,36,0.033740102337793364,0.004888240133087314,-0.11997159983295892,0.015276736992699514
forest,30-45,bilinear,4,36,0.036455026128080666,0.00603044930867076,-0.20753333834387594,0.04509945509239056
forest,30-45,blurred_observation,4,36,0.030084477064145996,0.004010220070607882,0.0,0.0
forest,30-45,nearest,4,36,0.035229611108531025,0.005666497351021234,-0.16756370677428886,0.03718828686493236
forest,30-45,psf_aware_matched,4,36,0.02532894910963504,0.0024865954266993302,0.15378086313269357,0.0475765179144982
forest,30-45,psf_aware_minus50,4,36,0.03390230131388444,0.005219120800988271,-0.12446829193264002,0.026580095258187227
forest,30-45,psf_aware_plus50,4,36,0.04482320684092088,0.007844869662120717,-0.4828264715947278,0.07203623053866494
forest,45-60,bicubic,2,18,0.03459327046876326,0.002510380372870427,-0.11849345873164599,0.012899652127194417
forest,45-60,bilinear,2,18,0.03735171299835135,0.0031943773726339415,-0.20722321332965524,0.029533595270974912
forest,45-60,blurred_observation,2,18,0.030915878530194216,0.0018893983547789927,0.0,0.0
forest,45-60,nearest,2,18,0.03605119336898861,0.0028932662819601356,-0.1653493051546266,0.02233337327988897
forest,45-60,psf_aware_matched,2,18,0.026068945717717094,0.0006738509808819151,0.15597908993629264,0.029826168219061
forest,45-60,psf_aware_minus50,2,18,0.03459642219771766,0.002534380434490431,-0.1185717814350327,0.013613617143793007
forest,45-60,psf_aware_plus50,2,18,0.046540917981202565,0.005185904150274764,-0.5031269957240946,0.07587851199729574
forest,60-75,bicubic,1,9,0.03387765649363608,,-0.11317147867698377,
forest,60-75,bilinear,1,9,0.036442210887697266,,-0.19756786178633187,
forest,60-75,blurred_observation,1,9,0.030435330898848756,,0.0,
forest,60-75,nearest,1,9,0.03526562351812053,,-0.15887606958590758,
forest,60-75,psf_aware_matched,1,9,0.02609471433720695,,0.1428493694110875,
forest,60-75,psf_aware_minus50,1,9,0.03396123160208695,,-0.11597720846522967,
forest,60-75,psf_aware_plus50,1,9,0.04449848652166336,,-0.4623908848360156,
urban,00-15,bicubic,2,18,0.0600327006783635,0.004771882894646513,-0.13125024342935004,0.005969125991604282
urban,00-15,bilinear,2,18,0.06577883855381227,0.005004876392716778,-0.23712863815064883,0.005517710540144563
urban,00-15,blurred_observation,2,18,0.05295195149493606,0.004067742565212324,0.0,0.0
urban,00-15,nearest,2,18,0.06339234403259916,0.0047771811239258576,-0.19298286440277898,0.003526258340571717
urban,00-15,psf_aware_matched,2,18,0.04330270846519248,0.003547679348804197,0.1778889317939957,0.001693948461552632
urban,00-15,psf_aware_minus50,2,18,0.060710162606331136,0.004557926857666318,-0.1434519226909518,0.0018406395403190812
urban,00-15,psf_aware_plus50,2,18,0.08017999467086012,0.007050047822260558,-0.5045300870908991,0.02799129334806413
urban,15-30,bicubic,2,18,0.08842465111853937,0.0015337261809503816,-0.1362018742454548,0.005295571013841507
urban,15-30,bilinear,2,18,0.0969242936629289,0.0005854772255347885,-0.24548612297597877,0.019728376977334768
urban,15-30,blurred_observation,2,18,0.07782744258327415,0.0017112418698531906,0.0,0.0
urban,15-30,nearest,2,18,0.09327158562849638,0.0008211684784689573,-0.19852738963470773,0.015680501075513314
urban,15-30,psf_aware_matched,2,18,0.06371500467922622,0.003591809330617549,0.18164705159894023,0.02807221504307152
urban,15-30,psf_aware_minus50,2,18,0.089251107264435,0.0010900370179687308,-0.14684003997065648,0.011116264062569513
urban,15-30,psf_aware_plus50,2,18,0.11929793422937199,0.0013903655280145502,-0.5331702698347348,0.016579059323993846
urban,30-45,bicubic,3,27,0.07576499743776563,0.028997757249880015,-0.13559722144819733,0.00029323246890004817
urban,30-45,bilinear,3,27,0.08293629461055428,0.03112887988431821,-0.2450229623849236,0.010862406028364333
urban,30-45,blurred_observation,3,27,0.06667210536716008,0.025612092584401325,0.0,0.0
urban,30-45,nearest,3,27,0.07973781489183561,0.02999066838254214,-0.1975756434516033,0.010666178147482504
urban,30-45,psf_aware_matched,3,27,0.05423707596983133,0.021921225654460023,0.18905376566028795,0.016833395239178383
urban,30-45,psf_aware_minus50,3,27,0.07624962720893208,0.028785379098723845,-0.1459363854533394,0.010062481128011726
urban,30-45,psf_aware_plus50,3,27,0.10330192460170269,0.03958947063790173,-0.5462625335163176,0.018342223626704016
urban,45-60,bicubic,2,18,0.07972135698719665,0.00635170097341834,-0.14400806294943685,0.0016861562149830566
urban,45-60,bilinear,2,18,0.08833818685807557,0.0067970144378178094,-0.2673051526683168,0.0038173577955000672
urban,45-60,blurred_observation,2,18,0.06974110218655119,0.005581021236999757,0.0,0.0
urban,45-60,nearest,2,18,0.08435531882176245,0.00651105777405375,-0.21037133258451368,0.0037744925172790173
urban,45-60,psf_aware_matched,2,18,0.05384014673125039,0.004644967449729989,0.2254802604266729,5.158629520052508e-05
urban,45-60,psf_aware_minus50,2,18,0.07977974080165173,0.0058055117220192805,-0.14565254828447893,0.009760589984828772
urban,45-60,psf_aware_plus50,2,18,0.11502254780814697,0.01201957536347193,-0.6524346324854732,0.03233034540367607
urban,60-75,bicubic,1,9,0.038666994340810806,,-0.1419992351037196,
urban,60-75,bilinear,1,9,0.04267928487460296,,-0.2680080942641625,
urban,60-75,blurred_observation,1,9,0.033792110399806105,,0.0,
urban,60-75,nearest,1,9,0.040843651515928114,,-0.21723886180177845,
urban,60-75,psf_aware_matched,1,9,0.026325700744964316,,0.22505714435128368,
urban,60-75,psf_aware_minus50,1,9,0.03877429816104355,,-0.1611705284959276,
urban,60-75,psf_aware_plus50,1,9,0.05521874460209516,,-0.6181263067682833,
water,00-15,bicubic,1,9,0.0002982392494793025,,-0.14726733269110553,
water,00-15,bilinear,1,9,0.00033009600683252515,,-0.26995879070465517,
water,00-15,blurred_observation,1,9,0.00026004105896301424,,0.0,
water,00-15,nearest,1,9,0.0003193611435761536,,-0.22855408520842133,
water,00-15,psf_aware_matched,1,9,0.00021482331074823278,,0.17428404032569667,
water,00-15,psf_aware_minus50,1,9,0.0003093207859110259,,-0.18968977597739198,
water,00-15,psf_aware_plus50,1,9,0.00040620805473668906,,-0.5628883686982256,
