patch_id,scene_class,region_id,location,anchor_lat,anchor_lon,patch_lat,patch_lon,abs_latitude_band,utm_epsg,east_offset_m,north_offset_m,true_fwhm_m,lambda,max_iter,healpix_level,device,rmse_psf_degradation,method,operator_fwhm_m,rmse_vs_latent,recovery_fraction,n_cells_compared,n_cells_estimated,npt,operator_rows,operator_cols,operator_nnz,operator_density,operator_build_s,solve_s,projection_s,runtime_s,method_total_s,patch_execution_status,run_sequence,benchmark_included
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666491,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.039223346900536186,blurred_observation,12.5,0.039223346900536186,0.0,170813,170813,,,,,,0.0,0.0,0.0,0.0,0.0,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666491,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.039223346900536186,psf_aware_matched,12.5,0.031196977988147148,0.20463243314606883,170813,172254,22.0,65536.0,172254.0,1441792.0,0.00012771836938474577,0.321432719938457,0.04039218509569764,1.7461719689890742,0.36182490503415465,2.107996874023229,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666491,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.039223346900536186,psf_aware_plus50,18.75,0.059807362055466086,-0.5247898708676622,170813,174025,48.0,65536.0,174025.0,3145728.0,0.0002758224393046976,0.592605163808912,0.08132447302341461,1.745955528691411,0.6739296368323267,2.4198851655237377,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666491,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.039223346900536186,psf_aware_minus50,6.25,0.04566278021272142,-0.164173478834291,170411,170411,9.0,65536.0,170411.0,589824.0,5.2813492086778434e-05,0.17367472918704152,0.022279197815805674,1.7303692670539021,0.1959539270028472,1.9263231940567493,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666491,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.039223346900536186,nearest,,0.04773941946776447,-0.2171174374492726,169912,170813,,,,,,0.0,0.14348554937168956,0.0,0.14348554937168956,0.14348554937168956,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666491,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.039223346900536186,bilinear,,0.04953225580903517,-0.2628258352006687,169912,170813,,,,,,0.0,0.10948524111881852,0.0,0.10948524111881852,0.10948524111881852,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666491,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.039223346900536186,bicubic,,0.04472765969596248,-0.14033256288363916,169912,170813,,,,,,0.0,0.7681327732279897,0.0,0.7681327732279897,0.7681327732279897,computed,1,False
urban__singapore__r0c1,urban,singapore,Singapore,1.2903,103.8519,1.2541182383741496,103.85191599538406,00-15,32648,0.0,-4000.0,12.5,0.001,14,20,cuda:0,0.030746484242990275,blurred_observation,12.5,0.030746484242990275,0.0,170971,170971,,,,,,0.0,0.0,0.0,0.0,0.0,computed,2,True
urban__singapore__r0c1,urban,singapore,Singapore,1.2903,103.8519,1.2541182383741496,103.85191599538406,00-15,32648,0.0,-4000.0,12.5,0.001,14,20,cuda:0,0.030746484242990275,psf_aware_matched,12.5,0.026664015439504956,0.1327783941481393,170971,172207,22.0,65536.0,172207.0,1441792.0,0.00012775322722072854,0.2885039411485195,0.04038108419626951,1.7296278337016702,0.32888502534478903,2.058512859046459,computed,2,True
urban__singapore__r0c1,urban,singapore,Singapore,1.2903,103.8519,1.2541182383741496,103.85191599538406,00-15,32648,0.0,-4000.0,12.5,0.001,14,20,cuda:0,0.030746484242990275,psf_aware_plus50,18.75,0.043037860654908944,-0.3997652646975698,170971,174474,48.0,65536.0,174474.0,3145728.0,0.00027511262423054436,0.442069832701236,0.08070080121979117,1.7536783157847822,0.5227706339210272,2.2764489497058094,computed,2,True
