scene_class,method,n_regions,n_patches,rmse_region_mean,rmse_region_sd,rmse_ci95_low,rmse_ci95_high,recovery_region_mean,recovery_ci95_low,recovery_ci95_high
agriculture,bicubic,10,90,0.03147190270085201,0.012443033053274679,0.024723976369864908,0.03940013433343222,-0.14049753913139054,-0.14900163406161812,-0.13374396305967728
agriculture,bilinear,10,90,0.034654778054051615,0.013505737711248798,0.027261707714080267,0.04320588202894093,-0.25842160487467064,-0.2737741817523858,-0.24512060497918736
agriculture,blurred_observation,10,90,0.02763042945684378,0.010998180311832199,0.021692093773958032,0.03463364111032774,0.0,0.0,0.0
agriculture,nearest,10,90,0.03332224769590382,0.013008903452853403,0.026231756917688538,0.04156744853425745,-0.2097908800355821,-0.22171423307998064,-0.19948925344192417
agriculture,psf_aware_matched,10,90,0.0222999664092401,0.009199908644990191,0.01738913047754104,0.028225689630424818,0.1955797310843502,0.18009436656074,0.2105654534020375
agriculture,psf_aware_minus50,10,90,0.03185377314207701,0.012480666980230605,0.02507130115284752,0.03976141980423609,-0.1562227306501746,-0.16436803747432147,-0.1489963657336188
agriculture,psf_aware_plus50,10,90,0.043134242646559774,0.01665377758733089,0.033915044701424535,0.053547326958383525,-0.5681570863412118,-0.6142718907966676,-0.5267497623397579
forest,bicubic,10,90,0.03456826958727574,0.012461150167257982,0.02808313689868522,0.042585979533931034,-0.1203644110558181,-0.12747715974834986,-0.11391337233589607
forest,bilinear,10,90,0.03737732129469012,0.013823777220078002,0.030155156466021838,0.04625618087320786,-0.2086776418976624,-0.22771220544663207,-0.191990009858888
forest,blurred_observation,10,90,0.03078964302503672,0.010829078464065422,0.025164729406875714,0.03781224155102095,0.0,0.0,0.0
forest,nearest,10,90,0.03611184114160488,0.013271823819469942,0.029201281444842495,0.044667725167172635,-0.16864002253716187,-0.1842009855008656,-0.1547171615579811
forest,psf_aware_matched,10,90,0.025911544790751796,0.008636537594650839,0.02140535727081912,0.03155115573879832,0.1537316901471389,0.13680458688653246,0.1731058668488573
forest,psf_aware_minus50,10,90,0.03471484366263212,0.012651005457676253,0.02814024015963401,0.04284594605659701,-0.12450522253917362,-0.13589036838001647,-0.11435779475539576
forest,psf_aware_plus50,10,90,0.04610414291659247,0.01735617205239652,0.036967304669789765,0.05725729211825292,-0.48733239042980736,-0.5208319745807403,-0.4575314293245373
urban,bicubic,10,90,0.07223194042223066,0.02067068133249568,0.0598725945075113,0.08410518973264135,-0.1371711260696795,-0.14022478938317126,-0.1337784826309886
urban,bilinear,10,90,0.07935708068558993,0.022461250888532965,0.06587773952980716,0.09219024176324518,-0.2502916809008822,-0.2589049242961703,-0.24112824402557548
urban,blurred_observation,10,90,0.0634849419030809,0.018215686260203912,0.052569233444951055,0.07394604356870442,0.0,0.0,0.0
urban,nearest,10,90,0.0762095593157151,0.02159309952065374,0.06326421566308547,0.08858017072119552,-0.2013728965400589,-0.20780041976068153,-0.19466869504893422
urban,psf_aware_matched,10,90,0.051075264757636483,0.01529820481975681,0.04197057652362285,0.05997075904385839,0.19622509505189573,0.18228197936050525,0.21017766456147163
urban,psf_aware_minus50,10,90,0.0727005201581746,0.020648518663651808,0.060284366551881276,0.08459591224718811,-0.14708687335285017,-0.1521485467898315,-0.1421503428671373
urban,psf_aware_plus50,10,90,0.09941254694466642,0.028571968485595706,0.08213008406184252,0.11570114448695777,-0.5637183887747442,-0.5999342606228427,-0.5301616795067854
water,bicubic,10,88,0.015190266578472503,0.009745636505433277,0.009189796478564731,0.02081453385241479,-0.12469296434741868,-0.14142734769965593,-0.10513969310147654
water,bilinear,10,88,0.01648796117876717,0.010584023072842714,0.00996825420186399,0.022552926012524985,-0.2260077041276028,-0.2665288336296374,-0.1811855715665513
water,blurred_observation,10,88,0.013544572791884157,0.008671971782662087,0.008187501368503183,0.018549344994738804,0.0,0.0,0.0
water,nearest,10,88,0.015935789969718766,0.01021687495654802,0.009626919500553987,0.021809336194426217,-0.18826660112892174,-0.2252368517891255,-0.14816740826180552
water,psf_aware_matched,10,88,0.011388954269977759,0.0074572565335604855,0.006886630699793015,0.015704287639731054,0.15792471789910692,0.12109542961808221,0.19343551081453675
water,psf_aware_minus50,10,88,0.015337531392285492,0.009821096591283442,0.009273779635429179,0.021007086774618485,-0.1469216378084112,-0.17826856886076575,-0.11455980230717906
water,psf_aware_plus50,10,88,0.020136829356500983,0.013165002399917034,0.012019638695487233,0.0277777206917251,-0.49270634475522257,-0.55832241178919,-0.4083369773850603
