scene_class,reference_method,competitor,n_regions,n_patches,mean_paired_delta_rmse,delta_ci95_low,delta_ci95_high,matched_win_fraction
agriculture,psf_aware_matched,psf_aware_plus50,10,90,0.0208342767590874,0.01636911958149423,0.025611146997815696,1.0
forest,psf_aware_matched,psf_aware_plus50,10,90,0.02019259754530739,0.015457211668488943,0.025872857411471124,1.0
urban,psf_aware_matched,psf_aware_plus50,10,90,0.048337282521200654,0.03979198725679117,0.056391123044828,1.0
water,psf_aware_matched,psf_aware_plus50,10,88,0.008747874917797353,0.004841940592143944,0.012739536618376948,1.0
agriculture,psf_aware_matched,psf_aware_minus50,10,90,0.009553806837549828,0.007563414686295462,0.011716924426039974,1.0
forest,psf_aware_matched,psf_aware_minus50,10,90,0.008803298843589288,0.006560044487585758,0.01150857961051812,1.0
urban,psf_aware_matched,psf_aware_minus50,10,90,0.02162525548620036,0.018156751249922984,0.02485556516728688,1.0
water,psf_aware_matched,psf_aware_minus50,10,88,0.003948577122224636,0.00219490694222164,0.0057179666707735805,1.0
agriculture,psf_aware_matched,nearest,10,90,0.011022281274709615,0.008721799564160488,0.013518606781125554,1.0
forest,psf_aware_matched,nearest,10,90,0.010200296347888941,0.00762274528475654,0.01330516728161314,1.0
urban,psf_aware_matched,nearest,10,90,0.02513429462589638,0.021072734448808594,0.028929414445613547,1.0
water,psf_aware_matched,nearest,10,88,0.0045468356936260255,0.0025301402327457027,0.006580411200547217,1.0
agriculture,psf_aware_matched,bilinear,10,90,0.012354811632857418,0.00977035430195446,0.015156288727202687,1.0
forest,psf_aware_matched,bilinear,10,90,0.011465776500974172,0.00857904825668375,0.014922435825107114,1.0
urban,psf_aware_matched,bilinear,10,90,0.028281815995771214,0.02365641679253258,0.03263408169995511,1.0
water,psf_aware_matched,bilinear,10,88,0.0050990069026744245,0.0028520451510633395,0.007367960056477895,1.0
agriculture,psf_aware_matched,bicubic,10,90,0.009171936279657815,0.007226911617001759,0.011287419872938242,1.0
forest,psf_aware_matched,bicubic,10,90,0.008656724793559804,0.00654169626063274,0.011206440294125614,1.0
urban,psf_aware_matched,bicubic,10,90,0.021156675732411957,0.01769564366388965,0.02441366882285807,1.0
water,psf_aware_matched,bicubic,10,88,0.0038013123023797626,0.0021413011470113315,0.005465498361185165,1.0
