scene,patch,cy,cx,rmse
urban,0,128,128,0.0001846684026531875
urban,1,128,128,0.00018466838810127228
urban,2,128,128,0.0001846684463089332
urban,3,128,128,0.00018466831534169614
urban,4,128,128,0.00018466835899744183
urban,5,128,128,0.0001846679806476459
urban,6,128,128,0.00018466821347828954
urban,7,128,128,0.00018466819892637432
urban,8,128,128,0.00018466805340722203
urban,9,128,128,0.00018466825713403523
urban,10,128,128,0.00018466832989361137
urban,11,128,128,0.00018466841720510274
urban,12,128,128,0.00018466811161488295
urban,13,128,128,0.00018466811161488295
urban,14,128,128,0.0001846681407187134
urban,15,128,128,0.00018466816982254386
urban,16,128,128,0.0001846680825110525
urban,17,128,128,0.00018466832989361137
urban,18,128,128,0.00018466815527062863
urban,19,128,128,0.0001846686500357464
water,0,128,128,5.741316999774426e-05
water,1,128,128,5.741318454965949e-05
water,2,128,128,5.741327549912967e-05
water,3,128,128,5.741323184338398e-05
water,4,128,128,5.741325003327802e-05
water,5,128,128,5.7413279137108475e-05
water,6,128,128,5.741327186115086e-05
water,7,128,128,5.741324639529921e-05
water,8,128,128,5.741319546359591e-05
water,9,128,128,5.7413242757320404e-05
water,10,128,128,5.741317363572307e-05
water,11,128,128,5.7413202739553526e-05
water,12,128,128,5.7413177273701876e-05
water,13,128,128,5.7413202739553526e-05
water,14,128,128,5.7413242757320404e-05
water,15,128,128,5.7413242757320404e-05
water,16,128,128,5.7413264585193247e-05
water,17,128,128,5.741319546359591e-05
water,18,128,128,5.741322456742637e-05
water,19,128,128,5.7413217291468754e-05
forest,0,128,128,5.723634603782557e-05
forest,1,128,128,5.723628055420704e-05
forest,2,128,128,5.723629146814346e-05
forest,3,128,128,5.723627327824943e-05
forest,4,128,128,5.7236313296016306e-05
forest,5,128,128,5.7236313296016306e-05
forest,6,128,128,5.723631693399511e-05
forest,7,128,128,5.723630602005869e-05
forest,8,128,128,5.723629146814346e-05
forest,9,128,128,5.7236338761867955e-05
forest,10,128,128,5.7236287830164656e-05
forest,11,128,128,5.7236338761867955e-05
forest,12,128,128,5.7236364227719605e-05
forest,13,128,128,5.7236313296016306e-05
forest,14,128,128,5.7236287830164656e-05
forest,15,128,128,5.72363096580375e-05
forest,16,128,128,5.7236287830164656e-05
forest,17,128,128,5.723628055420704e-05
forest,18,128,128,5.7236302382079884e-05
forest,19,128,128,5.723634239984676e-05
agriculture,0,128,128,4.304850517655723e-05
agriculture,1,128,128,4.3048497900599614e-05
agriculture,2,128,128,4.304849426262081e-05
agriculture,3,128,128,4.3048497900599614e-05
agriculture,4,128,128,4.3048570660175756e-05
agriculture,5,128,128,4.3048596126027405e-05
agriculture,6,128,128,4.304853791836649e-05
agriculture,7,128,128,4.3048545194324106e-05
agriculture,8,128,128,4.304851245251484e-05
agriculture,9,128,128,4.304850153857842e-05
agriculture,10,128,128,4.304852700443007e-05
agriculture,11,128,128,4.304843605495989e-05
agriculture,12,128,128,4.304854883230291e-05
agriculture,13,128,128,4.304856702219695e-05
agriculture,14,128,128,4.30485415563453e-05
agriculture,15,128,128,4.3048497900599614e-05
agriculture,16,128,128,4.3048534280387685e-05
agriculture,17,128,128,4.304850153857842e-05
agriculture,18,128,128,4.304852700443007e-05
agriculture,19,128,128,4.3048490624642e-05
