patch_id,scene_class,region_id,patch_execution_status,metric_cache_read_s,esri_patch_cache_status,esri_patch_load_s,synthetic_build_s,spectral_analysis_s,checkpoint_write_s,patch_wall_s,peak_gpu_memory_mib,operator_nnz_total,healpix_cells_max,rss_start_mib,rss_end_mib,cleanup_s,peak_rss_mib,rss_after_cleanup_mib,run_sequence,benchmark_included
urban__singapore__r0c0,urban,singapore,computed,0.0,zarr_hit,0.04520954890176654,1.099167408887297,0.008471976965665817,0.017121889162808657,8.810250204056501,1021.4560546875,5177344.0,174025,18766.453125,18826.2734375,0.13346355734393,18826.2734375,18826.26953125,1,False
urban__singapore__r0c1,urban,singapore,computed,0.0,zarr_hit,0.027529090642929077,1.083132728934288,0.00846046395599842,0.02573009394109249,8.561573546379805,1021.45556640625,5177344.0,174474,18826.2734375,18829.7421875,0.13491866271942854,18829.7421875,18829.73828125,2,True
urban__singapore__r0c2,urban,singapore,computed,0.0,zarr_hit,0.026274574920535088,1.0578020508401096,0.008548010140657425,0.03676653699949384,8.551270784344524,1021.45703125,5177344.0,174158,18829.7421875,18836.7890625,0.1347751012071967,18836.7890625,18836.78515625,3,True
urban__singapore__r1c0,urban,singapore,computed,0.0,zarr_hit,0.02143030008301139,1.058504241053015,0.008481713943183422,0.034160512033849955,8.688346232287586,1021.4541015625,5177344.0,174276,18836.7890625,18839.76953125,0.13018246227875352,18839.76953125,18839.765625,4,True
urban__singapore__r1c1,urban,singapore,computed,0.0,zarr_hit,0.03693432593718171,1.0594037240371108,0.008686162065714598,0.0568950017914176,8.812224734108895,1021.45751953125,5177344.0,174240,18839.76953125,18841.4375,0.15653149923309684,18841.4375,18841.43359375,5,True
urban__singapore__r1c2,urban,singapore,computed,0.0,zarr_hit,0.05056192725896835,1.073957710992545,0.008674419019371271,0.04320535296574235,8.798063762485981,1021.45703125,5177344.0,174133,18841.4375,18842.07421875,0.13065591920167208,18842.07421875,18842.0703125,6,True
urban__singapore__r2c0,urban,singapore,computed,0.0,zarr_hit,0.03157884208485484,1.0577312968671322,0.010745612904429436,0.047994724940508604,8.537410592660308,1021.4560546875,5177344.0,174049,18842.07421875,18847.390625,0.13376790331676602,18847.390625,18847.38671875,7,True
urban__singapore__r2c1,urban,singapore,computed,0.0,zarr_hit,0.036272300872951746,1.0759307881817222,0.008378018159419298,0.035938368644565344,8.75418216874823,1021.45751953125,5177344.0,174239,18847.390625,18849.80859375,0.13071530172601342,18849.80859375,18849.8046875,8,True
urban__singapore__r2c2,urban,singapore,computed,0.0,zarr_hit,0.03285644110292196,1.061033000703901,0.008380684070289135,0.017973823007196188,8.578401831444353,1021.455078125,5177344.0,174379,18849.80859375,18850.625,0.13310465728864074,18850.625,18850.62109375,9,True
urban__nairobi__r0c0,urban,nairobi,computed,0.0,zarr_hit,0.023458592128008604,1.0522168520838022,0.008403006009757519,0.025053242221474648,8.385072275996208,1021.4375,5177344.0,173920,18850.625,18851.2734375,0.1325237061828375,18851.2734375,18851.26953125,10,True
urban__nairobi__r0c1,urban,nairobi,computed,0.0,zarr_hit,0.03128267079591751,1.0538545050658286,0.008432521019130945,0.0393142132088542,8.407094256486744,1021.4384765625,5177344.0,173998,18851.2734375,18851.671875,0.131953626871109,18851.671875,18851.66796875,11,True
urban__nairobi__r0c2,urban,nairobi,computed,0.0,zarr_hit,0.03788037784397602,1.0677652917802334,0.008484600111842155,0.061233669985085726,8.463737431447953,1021.443359375,5177344.0,174106,18851.671875,18851.6796875,0.14402741519734263,18851.6796875,18851.67578125,12,True
urban__nairobi__r1c0,urban,nairobi,computed,0.0,zarr_hit,0.02601041505113244,1.0799332689493895,0.008420479018241167,0.04566384991630912,8.525090612005442,1021.44287109375,5177344.0,174127,18851.6796875,18851.828125,0.12966613890603185,18851.828125,18851.82421875,13,True
urban__nairobi__r1c1,urban,nairobi,computed,0.0,zarr_hit,0.05819381773471832,1.089103914797306,0.008708533830940723,0.042796336114406586,8.587327598128468,1021.4384765625,5177344.0,174049,18851.828125,18851.828125,0.1487958370707929,18851.828125,18851.82421875,14,True
urban__nairobi__r1c2,urban,nairobi,computed,0.0,zarr_hit,0.04136519506573677,1.0850860746577382,0.008377396035939455,0.03548209182918072,8.54618266923353,1021.4384765625,5177344.0,173988,18851.828125,18851.828125,0.1306015169247985,18851.828125,18851.82421875,15,True
urban__nairobi__r2c0,urban,nairobi,computed,0.0,zarr_hit,0.03594993893057108,1.0762561722658575,0.008494969923049212,0.022517978213727474,8.482106309849769,1021.44189453125,5177344.0,173969,18851.828125,18851.83203125,0.1321249632164836,18851.83203125,18851.828125,16,True
urban__nairobi__r2c1,urban,nairobi,computed,0.0,zarr_hit,0.034281309228390455,1.0507198860868812,0.008498705923557281,0.028793513774871826,8.435090070590377,1021.44189453125,5177344.0,174009,18851.83203125,18852.88671875,0.13376468792557716,18852.88671875,18852.8828125,17,True
urban__nairobi__r2c2,urban,nairobi,computed,0.0,zarr_hit,0.040212552063167095,1.052086214069277,0.008467346895486116,0.016365837305784225,8.419736983254552,1021.4423828125,5177344.0,174049,18852.88671875,18852.89453125,0.13551478227600455,18852.89453125,18852.890625,18,True
urban__sao_paulo__r0c0,urban,sao_paulo,computed,0.0,zarr_hit,0.03971473919227719,1.1064404896460474,0.008486484177410603,0.05411389097571373,12.01502210367471,1021.4189453125,5177344.0,173799,18852.8984375,18853.69140625,0.1367437900044024,18853.69140625,18853.6875,19,True
urban__sao_paulo__r0c1,urban,sao_paulo,computed,0.0,zarr_hit,0.026495893020182848,1.0883210920728743,0.008908953052014112,0.025623981840908527,11.95152491191402,1021.4189453125,5177344.0,173808,18853.69140625,18854.01171875,0.15068905288353562,18854.01171875,18854.0078125,20,True
urban__sao_paulo__r0c2,urban,sao_paulo,computed,0.0,zarr_hit,0.027630000840872526,1.0899244886822999,0.008359132334589958,0.030222070403397083,11.849784748163074,1021.41943359375,5177344.0,173809,18854.01171875,18854.01953125,0.13353902101516724,18854.01953125,18854.015625,21,True
urban__sao_paulo__r1c0,urban,sao_paulo,computed,0.0,zarr_hit,0.031010552775114775,1.1257923422381282,0.008431058842688799,0.05110323894768953,12.077369348611683,1021.41943359375,5177344.0,173795,18854.01953125,18854.046875,0.1352376276627183,18854.046875,18854.04296875,22,True
urban__sao_paulo__r1c1,urban,sao_paulo,computed,0.0,zarr_hit,0.02638875972479582,1.0964599368162453,0.008385201916098595,0.035649208817631006,11.810138728935272,1021.41943359375,5177344.0,173807,18854.046875,18854.046875,0.1341725210659206,18854.046875,18854.04296875,23,True
urban__sao_paulo__r1c2,urban,sao_paulo,computed,0.0,zarr_hit,0.03244938887655735,1.098287939094007,0.008424244821071625,0.030190530233085155,11.762681184802204,1021.41943359375,5177344.0,173808,18854.046875,18854.046875,0.13367292378097773,18854.046875,18854.04296875,24,True
