patch_id,scene_class,region_id,location,anchor_lat,anchor_lon,patch_lat,patch_lon,abs_latitude_band,utm_epsg,east_offset_m,north_offset_m,patch_row,patch_col
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666491,00-15,32648,-4000.0,-4000.0,0,0
urban__singapore__r0c1,urban,singapore,Singapore,1.2903,103.8519,1.2541182383741496,103.85191599538406,00-15,32648,0.0,-4000.0,0,1
urban__singapore__r0c2,urban,singapore,Singapore,1.2903,103.8519,1.254133860201693,103.88786449936873,00-15,32648,4000.0,-4000.0,0,2
urban__singapore__r1c0,urban,singapore,Singapore,1.2903,103.8519,1.2902834163465642,103.81595145072481,00-15,32648,-4000.0,0.0,1,0
urban__singapore__r1c1,urban,singapore,Singapore,1.2903,103.8519,1.2902999999999998,103.8519,00-15,32648,0.0,0.0,1,1
urban__singapore__r1c2,urban,singapore,Singapore,1.2903,103.8519,1.290316072667127,103.88784900457223,00-15,32648,4000.0,0.0,1,2
urban__singapore__r2c0,urban,singapore,Singapore,1.2903,103.8519,1.3264647022528997,103.81593448523955,00-15,32648,-4000.0,4000.0,2,0
urban__singapore__r2c1,urban,singapore,Singapore,1.2903,103.8519,1.3264817510916866,103.85188354931874,00-15,32648,0.0,4000.0,2,1
urban__singapore__r2c2,urban,singapore,Singapore,1.2903,103.8519,1.326498274610578,103.88783306872739,00-15,32648,4000.0,4000.0,2,2
urban__nairobi__r0c0,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.3225305542879326,36.78123901895743,00-15,32737,-4000.0,-4000.0,0,0
urban__nairobi__r0c1,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.3225626302473925,36.8171688223362,00-15,32737,0.0,-4000.0,0,1
urban__nairobi__r0c2,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.3225941835392068,36.85309949078891,00-15,32737,4000.0,-4000.0,0,2
urban__nairobi__r1c0,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.286368801375594,36.781270708793215,00-15,32737,-4000.0,0.0,1,0
urban__nairobi__r1c1,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.2863999999999969,36.8172,00-15,32737,0.0,0.0,1,1
urban__nairobi__r1c2,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.2864306902526315,36.85313015621936,00-15,32737,4000.0,0.0,1,2
urban__nairobi__r2c0,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.2502070374169012,36.781301519406156,00-15,32737,-4000.0,4000.0,2,0
urban__nairobi__r2c1,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.2502373587298494,36.817230312650956,00-15,32737,0.0,4000.0,2,1
urban__nairobi__r2c2,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.2502671859665244,36.85315997084865,00-15,32737,4000.0,4000.0,2,2
urban__sao_paulo__r0c0,urban,sao_paulo,"Sao Paulo, Brazil",-23.5505,-46.6333,-23.586199295303587,-46.672933198899024,15-30,32723,-4000.0,-4000.0,0,0
urban__sao_paulo__r0c1,urban,sao_paulo,"Sao Paulo, Brazil",-23.5505,-46.6333,-23.58661641824638,-46.633746782506876,15-30,32723,0.0,-4000.0,0,1
urban__sao_paulo__r0c2,urban,sao_paulo,"Sao Paulo, Brazil",-23.5505,-46.6333,-23.58702366399111,-46.594559475654854,15-30,32723,4000.0,-4000.0,0,2
urban__sao_paulo__r1c0,urban,sao_paulo,"Sao Paulo, Brazil",-23.5505,-46.6333,-23.550083591293532,-46.672475712076306,15-30,32723,-4000.0,0.0,1,0
urban__sao_paulo__r1c1,urban,sao_paulo,"Sao Paulo, Brazil",-23.5505,-46.6333,-23.5505,-46.6333,15-30,32723,0.0,0.0,1,1
urban__sao_paulo__r1c2,urban,sao_paulo,"Sao Paulo, Brazil",-23.5505,-46.6333,-23.550906548416815,-46.594123398542685,15-30,32723,4000.0,0.0,1,2
urban__sao_paulo__r2c0,urban,sao_paulo,"Sao Paulo, Brazil",-23.5505,-46.6333,-23.513967711274553,-46.672019135933624,15-30,32723,-4000.0,4000.0,2,0
urban__sao_paulo__r2c1,urban,sao_paulo,"Sao Paulo, Brazil",-23.5505,-46.6333,-23.51438340612312,-46.63285410687462,15-30,32723,0.0,4000.0,2,1
urban__sao_paulo__r2c2,urban,sao_paulo,"Sao Paulo, Brazil",-23.5505,-46.6333,-23.51478925758149,-46.59368818951062,15-30,32723,4000.0,4000.0,2,2
urban__cape_town__r0c0,urban,cape_town,"Cape Town, South Africa",-33.9249,18.4241,-33.960025727460355,18.379763738660497,30-45,32734,-4000.0,-4000.0,0,0
urban__cape_town__r0c1,urban,cape_town,"Cape Town, South Africa",-33.9249,18.4241,-33.9609394320875,18.423013535287144,30-45,32734,0.0,-4000.0,0,1
