patch_id,scene_class,region_id,patch_lat,patch_lon,true_fwhm_m,method,rmse_vs_latent,runtime_s,deconvolution_parameter,n_cells_compared
agriculture__beauce__r1c1,agriculture,beauce,48.258,1.4990000000000003,12.5,psf_aware_matched,0.0154603884905747,1.8317753220908344,0.001,169655
agriculture__beauce__r1c1,agriculture,beauce,48.258,1.4990000000000003,12.5,tikhonov_bicubic,0.01828026692234948,0.8687824672088027,0.01,166897
agriculture__beauce__r1c1,agriculture,beauce,48.258,1.4990000000000003,12.5,richardson_lucy,0.017693114534453405,1.0972061231732368,100.0,166897
agriculture__canterbury__r1c1,agriculture,canterbury,-43.50000000000001,172.0,12.5,psf_aware_matched,0.0150351279622683,1.8606512662954628,0.001,169871
agriculture__canterbury__r1c1,agriculture,canterbury,-43.50000000000001,172.0,12.5,tikhonov_bicubic,0.017981633004904844,0.8627212969586253,0.01,167112
agriculture__canterbury__r1c1,agriculture,canterbury,-43.50000000000001,172.0,12.5,richardson_lucy,0.017459504095393465,1.0734550980851054,100.0,167112
agriculture__iowa__r1c1,agriculture,iowa,42.00000000000001,-93.5,12.5,psf_aware_matched,0.0132668451264856,2.9237172259017825,0.001,169954
agriculture__iowa__r1c1,agriculture,iowa,42.00000000000001,-93.5,12.5,tikhonov_bicubic,0.016796525175582586,0.8620115928351879,0.01,167176
agriculture__iowa__r1c1,agriculture,iowa,42.00000000000001,-93.5,12.5,richardson_lucy,0.016086411985540793,1.0808061207644641,100.0,167176
agriculture__mato_grosso__r1c1,agriculture,mato_grosso,-13.000000000000002,-56.0,12.5,psf_aware_matched,0.0099806618377314,3.250349784269929,0.001,170798
agriculture__mato_grosso__r1c1,agriculture,mato_grosso,-13.000000000000002,-56.0,12.5,tikhonov_bicubic,0.012126046486510072,0.8761262968182564,0.01,168064
agriculture__mato_grosso__r1c1,agriculture,mato_grosso,-13.000000000000002,-56.0,12.5,richardson_lucy,0.011376152001968188,1.0785706168971956,100.0,168064
agriculture__nile_delta__r1c1,agriculture,nile_delta,30.799999999999994,31.0,12.5,psf_aware_matched,0.0826390779915768,2.00513812340796,0.001,170217
agriculture__nile_delta__r1c1,agriculture,nile_delta,30.799999999999994,31.0,12.5,tikhonov_bicubic,0.09411213472289352,0.8671247372403741,0.01,167476
agriculture__nile_delta__r1c1,agriculture,nile_delta,30.799999999999994,31.0,12.5,richardson_lucy,0.09283957061762388,1.0793069619685411,100.0,167476
agriculture__pampas__r1c1,agriculture,pampas,-34.499999999999986,-59.00000000000001,12.5,psf_aware_matched,0.0345978793572924,3.040410798974335,0.001,170094
agriculture__pampas__r1c1,agriculture,pampas,-34.499999999999986,-59.00000000000001,12.5,tikhonov_bicubic,0.04103098981389628,0.8625019318424165,0.01,167360
agriculture__pampas__r1c1,agriculture,pampas,-34.499999999999986,-59.00000000000001,12.5,richardson_lucy,0.04017937275691043,1.080703997053206,100.0,167360
agriculture__po_valley__r1c1,agriculture,po_valley,45.0,10.0,12.5,psf_aware_matched,0.0207326856406787,1.9244564375840127,0.001,169802
agriculture__po_valley__r1c1,agriculture,po_valley,45.0,10.0,12.5,tikhonov_bicubic,0.02517408907099241,0.8571835393086076,0.01,167053
agriculture__po_valley__r1c1,agriculture,po_valley,45.0,10.0,12.5,richardson_lucy,0.024448502185060804,1.0779573852196336,100.0,167053
agriculture__punjab__r1c1,agriculture,punjab,30.5,75.5,12.5,psf_aware_matched,0.0139599017184849,2.286185060162097,0.001,170351
agriculture__punjab__r1c1,agriculture,punjab,30.5,75.5,12.5,tikhonov_bicubic,0.016559370589180732,0.8616147008724511,0.01,167656
agriculture__punjab__r1c1,agriculture,punjab,30.5,75.5,12.5,richardson_lucy,0.01564795760737851,1.082434345036745,100.0,167656
agriculture__ukraine__r1c1,agriculture,ukraine,48.99999999999999,31.0,12.5,psf_aware_matched,0.0259462615149398,2.3634306048043072,0.001,169588
agriculture__ukraine__r1c1,agriculture,ukraine,48.99999999999999,31.0,12.5,tikhonov_bicubic,0.029950179580551867,0.8611536482349038,0.01,166832
agriculture__ukraine__r1c1,agriculture,ukraine,48.99999999999999,31.0,12.5,richardson_lucy,0.02941533279308589,1.106266664341092,100.0,166832
agriculture__western_australia__r1c1,agriculture,western_australia,-31.5,117.0,12.5,psf_aware_matched,0.0179028820627735,2.670825548004359,0.001,170144
agriculture__western_australia__r1c1,agriculture,western_australia,-31.5,117.0,12.5,tikhonov_bicubic,0.021557243642269578,0.8598178382962942,0.01,167544
agriculture__western_australia__r1c1,agriculture,western_australia,-31.5,117.0,12.5,richardson_lucy,0.020768615044938647,1.0772415790706873,100.0,167544
forest__amazon__r1c1,forest,amazon,-2.9999999999999996,-59.99999999999999,12.5,psf_aware_matched,0.0643914448726342,3.0194031381979585,0.001,170484
forest__amazon__r1c1,forest,amazon,-2.9999999999999996,-59.99999999999999,12.5,tikhonov_bicubic,0.07379360175042446,0.8620891603641212,0.01,167771
forest__amazon__r1c1,forest,amazon,-2.9999999999999996,-59.99999999999999,12.5,richardson_lucy,0.07268649134399197,1.0777184329926968,100.0,167771
forest__appalachian__r1c1,forest,appalachian,35.5,-83.5,12.5,psf_aware_matched,0.0244030401830838,3.0330179566517472,0.001,169980
forest__appalachian__r1c1,forest,appalachian,35.5,-83.5,12.5,tikhonov_bicubic,0.027674165899990315,0.8593814806081355,0.01,167244
forest__appalachian__r1c1,forest,appalachian,35.5,-83.5,12.5,richardson_lucy,0.027263021752198004,1.0886945319361985,100.0,167244
forest__black_forest__r1c1,forest,black_forest,48.099999999999994,8.2,12.5,psf_aware_matched,0.0244615741983306,1.8208116879686715,0.001,169696
forest__black_forest__r1c1,forest,black_forest,48.099999999999994,8.2,12.5,tikhonov_bicubic,0.029037843243944483,0.8671703641302884,0.01,166942
forest__black_forest__r1c1,forest,black_forest,48.099999999999994,8.2,12.5,richardson_lucy,0.028389933142520033,1.0831872508861125,100.0,166942
forest__borneo__r1c1,forest,borneo,1.0000000000000002,114.00000000000001,12.5,psf_aware_matched,0.0184537083887568,1.9903530403971672,0.001,170368
forest__borneo__r1c1,forest,borneo,1.0000000000000002,114.00000000000001,12.5,tikhonov_bicubic,0.021005149313050826,0.8632380361668766,0.01,167791
forest__borneo__r1c1,forest,borneo,1.0000000000000002,114.00000000000001,12.5,richardson_lucy,0.020629218165391292,1.091611736919731,100.0,167791
forest__canadian_rockies__r1c1,forest,canadian_rockies,52.99999999999999,-122.0,12.5,psf_aware_matched,0.0264641891404842,2.2237206143327057,0.001,169496
forest__canadian_rockies__r1c1,forest,canadian_rockies,52.99999999999999,-122.0,12.5,tikhonov_bicubic,0.02947338500401934,0.8572483812458813,0.01,166763
forest__canadian_rockies__r1c1,forest,canadian_rockies,52.99999999999999,-122.0,12.5,richardson_lucy,0.0290743253492542,1.0780271771363914,100.0,166763
forest__congo__r1c1,forest,congo,-0.9999999999999925,20.0,12.5,psf_aware_matched,0.01259858270673,1.995398588012904,0.001,170880
forest__congo__r1c1,forest,congo,-0.9999999999999925,20.0,12.5,tikhonov_bicubic,0.014697106240014716,0.8806482418440282,0.01,168283
forest__congo__r1c1,forest,congo,-0.9999999999999925,20.0,12.5,richardson_lucy,0.014088981219861296,1.108162245247513,100.0,168283
forest__finland_boreal__r1c1,forest,finland_boreal,62.0,25.0,12.5,psf_aware_matched,0.0259026950182211,1.8428878313861787,0.001,169155
forest__finland_boreal__r1c1,forest,finland_boreal,62.0,25.0,12.5,tikhonov_bicubic,0.029126132829453266,0.8658939469605684,0.01,166407
forest__finland_boreal__r1c1,forest,finland_boreal,62.0,25.0,12.5,richardson_lucy,0.028675717589090783,1.0734905037097633,100.0,166407
forest__new_zealand__r1c1,forest,new_zealand,-41.5,172.5,12.5,psf_aware_matched,0.0230429425953598,2.026334310881793,0.001,169908
forest__new_zealand__r1c1,forest,new_zealand,-41.5,172.5,12.5,tikhonov_bicubic,0.025938763442124754,0.8611738169565797,0.01,167154
forest__new_zealand__r1c1,forest,new_zealand,-41.5,172.5,12.5,richardson_lucy,0.025489134271764306,1.0743378200568259,100.0,167154
forest__patagonia__r1c1,forest,patagonia,-42.50000000000001,-72.0,12.5,psf_aware_matched,0.022877007751435,2.4850956927984957,0.001,169689
forest__patagonia__r1c1,forest,patagonia,-42.50000000000001,-72.0,12.5,tikhonov_bicubic,0.02808261808175062,0.8691371800377965,0.01,166916
forest__patagonia__r1c1,forest,patagonia,-42.50000000000001,-72.0,12.5,richardson_lucy,0.026986630103238953,1.0821114932186902,100.0,166916
forest__tasmania__r1c1,forest,tasmania,-41.999999999999986,146.0,12.5,psf_aware_matched,0.0243098188271592,1.8375508724711835,0.001,169925
forest__tasmania__r1c1,forest,tasmania,-41.999999999999986,146.0,12.5,tikhonov_bicubic,0.02671778482708458,0.8590436419472098,0.01,167173
forest__tasmania__r1c1,forest,tasmania,-41.999999999999986,146.0,12.5,richardson_lucy,0.026451449674190903,1.0797873511910439,100.0,167173
urban__cape_town__r1c1,urban,cape_town,-33.924899999999994,18.4241,12.5,psf_aware_matched,0.0526663923633931,2.020221561193466,0.001,170020
urban__cape_town__r1c1,urban,cape_town,-33.924899999999994,18.4241,12.5,tikhonov_bicubic,0.06320647746836902,0.8613588460721076,0.01,167281
urban__cape_town__r1c1,urban,cape_town,-33.924899999999994,18.4241,12.5,richardson_lucy,0.061849979359797455,1.0764768412336707,100.0,167281
urban__mexico_city__r1c1,urban,mexico_city,19.4326,-99.1332,12.5,psf_aware_matched,0.0673609332810813,2.8001720546744764,0.001,170688
urban__mexico_city__r1c1,urban,mexico_city,19.4326,-99.1332,12.5,tikhonov_bicubic,0.0765177829946571,0.8664137008599937,0.01,168131
urban__mexico_city__r1c1,urban,mexico_city,19.4326,-99.1332,12.5,richardson_lucy,0.0754493803352837,1.084456984885037,100.0,168131
urban__montreal__r1c1,urban,montreal,45.501900000000006,-73.5674,12.5,psf_aware_matched,0.0617123618058788,2.3930349769070745,0.001,169746
urban__montreal__r1c1,urban,montreal,45.501900000000006,-73.5674,12.5,tikhonov_bicubic,0.0737314303531398,0.8599753160960972,0.01,167001
urban__montreal__r1c1,urban,montreal,45.501900000000006,-73.5674,12.5,richardson_lucy,0.07217811444620188,1.0836886409670115,100.0,167001
urban__nairobi__r1c1,urban,nairobi,-1.2863999999999969,36.8172,12.5,psf_aware_matched,0.0485815183228643,2.1355172526091337,0.001,170798
