scene_class,method,n_regions,n_patches,mean_rmse,between_region_sd
agriculture,psf_aware_matched,10,10,0.02495217117028061,0.021497463065520105
agriculture,richardson_lucy,10,10,0.028591453362235404,0.024046507934670572
agriculture,tikhonov_bicubic,10,10,0.029356847900913134,0.024218307839090597
forest,psf_aware_matched,10,10,0.026690500368219468,0.013873137874129044
forest,richardson_lucy,10,10,0.02997349026115017,0.01569789818293792
forest,tikhonov_bicubic,10,10,0.030554655063185738,0.015875236402453356
urban,psf_aware_matched,10,10,0.05921321244349761,0.008982064519013315
urban,richardson_lucy,10,10,0.06795937676266015,0.009836636221720221
urban,tikhonov_bicubic,10,10,0.06917775011408503,0.009894251553867783
water,psf_aware_matched,10,10,0.00573925409243956,0.0055263969161734065
water,richardson_lucy,10,10,0.006209287321985513,0.0059174529477034115
water,tikhonov_bicubic,10,10,0.006569564919786261,0.00579560011283606
