scene,snr,noise_std,lam,noise_model,rmse_vs_no_psf,rmse_std,noise_penalty,noise_penalty_std,regularization_noise_gain,regularization_noise_gain_std,regularization_noise_gain_pct,regularization_noise_gain_pct_std,n_realizations,n_cells
agriculture,5.0,0.026345751984639027,0.0,correlated,0.03212016186772656,2.465332725775215e-05,0.016621594579653766,2.4653327257752228e-05,0.0,0.0,0.0,0.0,10,169654
agriculture,5.0,0.026345751984639027,0.0,white,0.08139154590584272,0.0002682215155874337,0.06589297861776991,0.0002682215155874362,0.0,0.0,0.0,0.0,10,169654
agriculture,5.0,0.026345751984639027,0.001,correlated,0.032120251823810717,2.4447214384698953e-05,0.016611771179786978,2.444721438469876e-05,9.823399866788763e-06,8.883842447982268e-07,0.030582822978500963,0.0027597639967508834,10,169654
agriculture,5.0,0.026345751984639027,0.001,white,0.07978383575194331,0.00024705980771472225,0.06427535510791957,0.0002470598077147226,0.001617623509850344,2.259264475438015e-05,1.9874004638869782,0.02181165161971296,10,169654
agriculture,5.0,0.026345751984639027,0.01,correlated,0.03214288494637684,2.3868840491183605e-05,0.01650815039441445,2.3868840491184364e-05,0.00011344418523931559,5.101479979832866e-06,0.35318423369284313,0.01581404831993297,10,169654
agriculture,5.0,0.026345751984639027,0.01,white,0.06943320373322676,0.0001356545734700342,0.053798469181264366,0.00013565457347003497,0.012094509436505547,0.00014540421254078165,14.859299038897808,0.1332017737364128,10,169654
agriculture,5.0,0.026345751984639027,0.1,correlated,0.03262994564488695,2.4450479515093985e-05,0.015442044310675234,2.4450479515094767e-05,0.0011795502689785312,1.2717279287692806e-05,3.672299330132419,0.03891552424502736,10,169654
agriculture,5.0,0.026345751984639027,0.1,white,0.043506290865351425,4.631244723556018e-05,0.026318389531139713,4.631244723556143e-05,0.0395745890866302,0.0002718033399527723,48.6219779021276,0.179090516616023,10,169654
agriculture,5.0,0.026345751984639027,1.0,correlated,0.03437384608408358,3.633334140382791e-05,0.012241202158236084,3.63333414038285e-05,0.004380392421417681,3.4303846763365283e-05,13.637503618215467,0.10441480436904423,10,169654
agriculture,5.0,0.026345751984639027,1.0,white,0.029657624890954786,5.3905087042346786e-05,0.007524980965107286,5.3905087042347166e-05,0.05836799765266263,0.00028054404469320576,71.71230090957536,0.12162165060418229,10,169654
agriculture,10.0,0.013172875992319514,0.0,correlated,0.020933971597012324,8.497689426420507e-06,0.00543540430893953,8.497689426420646e-06,0.0,0.0,0.0,0.0,10,169654
agriculture,10.0,0.013172875992319514,0.0,white,0.042838239008927824,0.00013095234779719956,0.027339671720855035,0.00013095234779720089,0.0,0.0,0.0,0.0,10,169654
agriculture,10.0,0.013172875992319514,0.001,correlated,0.02093912480887491,8.399857373298712e-06,0.005430644164851177,8.399857373298502e-06,4.7601440883528886e-06,6.542854470732125e-07,0.022738638150593175,0.003123260564099486,10,169654
agriculture,10.0,0.013172875992319514,0.001,white,0.042083121295800496,0.00012242177431088047,0.02657464065177676,0.0001224217743108803,0.0007650310690782744,9.864178625945892e-06,1.7858197147425858,0.018477610438135502,10,169654
agriculture,10.0,0.013172875992319514,0.01,correlated,0.021016308217273426,8.582726724689525e-06,0.005381573665311033,8.582726724689315e-06,5.383064362849757e-05,3.707882474174057e-06,0.25714369108140755,0.017689486620627498,10,169654
agriculture,10.0,0.013172875992319514,0.01,white,0.03726606598274605,7.777304470350921e-05,0.021631331430783662,7.777304470351174e-05,0.005708340290071372,6.311954132745998e-05,13.325079672976264,0.11166160960996406,10,169654
agriculture,10.0,0.013172875992319514,0.1,correlated,0.02208470726975161,1.1210548829752918e-05,0.004896805935539896,1.1210548829752384e-05,0.000538598373399634,8.72191948656928e-06,2.572841777861179,0.04151324267713746,10,169654
agriculture,10.0,0.013172875992319514,0.1,white,0.026340605466860373,2.6468693571897805e-05,0.009152704132648659,2.6468693571897615e-05,0.018186967588206374,0.00013078372810823767,42.45451687535575,0.18062744253424445,10,169654
agriculture,10.0,0.013172875992319514,1.0,correlated,0.025741442398382063,2.565108545151666e-05,0.0036087984725345656,2.5651085451516474e-05,0.0018266058364049646,2.395530949385508e-05,8.72556052650686,0.11458044363516534,10,169654
agriculture,10.0,0.013172875992319514,1.0,white,0.024229980435525357,2.4261713645139345e-05,0.0020973365096778568,2.4261713645138637e-05,0.025242335211177174,0.00013534969409001555,58.924412358692805,0.1427856878684634,10,169654
agriculture,20.0,0.006586437996159757,0.0,correlated,0.01702503875174609,5.647812037687173e-06,0.0015264714636732963,5.647812037686606e-06,0.0,0.0,0.0,0.0,10,169654
agriculture,20.0,0.006586437996159757,0.0,white,0.025262592640085575,3.260758416230112e-05,0.009764025352012779,3.260758416230144e-05,0.0,0.0,0.0,0.0,10,169654
agriculture,20.0,0.006586437996159757,0.001,correlated,0.017033165579732314,5.449492889728614e-06,0.0015246849357085795,5.4494928897282866e-06,1.7865279647168859e-06,3.7940843111853025e-07,0.010493169522063563,0.002226522642124988,10,169654
agriculture,20.0,0.006586437996159757,0.001,white,0.02495315463056764,3.0277201236510513e-05,0.009444673986543906,3.0277201236509954e-05,0.0003193513654688736,3.5284211039611113e-06,1.26411812129167,0.012896638383764217,10,169654
agriculture,20.0,0.006586437996159757,0.01,correlated,0.01714225482864199,4.861344353149167e-06,0.001507520276679596,4.8613443531501025e-06,1.8951186993700423e-05,2.1355371612663992e-06,0.11131164052017987,0.01252312193402221,10,169654
agriculture,20.0,0.006586437996159757,0.01,white,0.02304349961589123,2.0155870409354787e-05,0.007408765063928832,2.0155870409354038e-05,0.002355260288083946,2.3254375861655216e-05,9.323043421534289,0.08289065717252105,10,169654
