scene,method,n_cells,rmse,mae,bias,corr,psnr
urban,psf_aware,29910,0.02182589359381993,0.014064054437830487,2.764643980137224e-05,0.9167448637517965,38.59412763659912
urban,classical_nearest,29910,0.032084076435307425,0.02069086904520127,-0.00012474150463206358,0.8164330991342329,35.24777746219986
urban,classical_linear,29910,0.03245842376363573,0.020980617468625517,4.3274246253364664e-05,0.8226172625454126,35.1470197899177
urban,classical_cubic,29910,0.029609455893419234,0.01911947265287923,3.6658407713618814e-05,0.8550806356849062,35.944959771962374
urban,richardson_lucy,29910,0.03010095688493498,0.015616114781365336,-0.00032140681250687205,0.8393415813698764,35.801962274730364
water,psf_aware,29892,0.007356530641182994,0.0020345825896818737,4.5189051374805017e-07,0.969898878693433,35.39566358166007
water,classical_nearest,29892,0.010667982396104489,0.0029385414989017726,1.068347778069607e-06,0.9358914452367448,32.167478738822595
water,classical_linear,29892,0.010492188568156985,0.0029293843072768794,-1.2581465152616576e-05,0.9390577159722622,32.3118028013854
water,classical_cubic,29892,0.00960305887715569,0.0026553703240324803,-8.732133433005924e-06,0.9491951566612457,33.080932714715495
water,richardson_lucy,29892,0.008625329982966478,0.002258036651281724,-8.457735047509949e-05,0.9591215646210768,34.013610164982985
forest,psf_aware,29926,0.007265735259355035,0.004525982848962869,-4.456146817022244e-06,0.9914565590671928,33.264640413206735
forest,classical_nearest,29926,0.013127787849928855,0.007890596426085117,-1.3713017153048698e-05,0.9720855277050405,28.126400808144897
forest,classical_linear,29926,0.012342882526573675,0.007714651476510973,1.0143693276411935e-05,0.9760018936245993,28.66189989063184
forest,classical_cubic,29926,0.010747955333629551,0.006657951252493844,3.5088885152164863e-06,0.9817839718647849,29.863714744418978
forest,richardson_lucy,29926,0.008493525733591212,0.005087167260609617,-0.00014055922093508602,0.9884684948981179,31.908471663984272
agriculture,psf_aware,29905,0.006148496721795571,0.003777599669002586,-3.2727841877694157e-06,0.997134921852992,34.88339376208568
agriculture,classical_nearest,29905,0.01308682380438694,0.0070727699718555965,-3.545821255549123e-05,0.9870490266990025,28.32208757266511
agriculture,classical_linear,29905,0.011444166486128228,0.0067776942755818324,1.293038941584708e-05,0.9904603310553868,29.48708933529072
agriculture,classical_cubic,29905,0.009691610841786777,0.005680302278894063,1.6697007733590427e-06,0.9931071743226279,30.930853336500576
agriculture,richardson_lucy,29905,0.006814487052578924,0.004135801948674236,3.6171037511290605e-06,0.9964953876444195,33.99010926409558
