scene,method,n_cells,rmse,mae,bias,corr,psnr
urban,psf_aware,21688,0.033450007172439844,0.021756654123601574,2.0010814544178302e-05,0.8113310271889737,35.06395198907621
urban,classical_nearest,21688,0.03885925966190454,0.025487093566649355,3.732186381844924e-06,0.7348294919462777,33.76198584841835
urban,classical_linear,21688,0.0396879137538796,0.02598512946318724,1.348513259472719e-05,0.72327212330766,33.57871088839752
urban,classical_cubic,21688,0.038215101413455015,0.02498897784832071,1.5044463098022368e-05,0.7476271323920008,33.90717596494536
urban,richardson_lucy,21688,0.03933093997120008,0.023069287063755328,-0.0003119007211736957,0.7241376500695292,33.65718977861758
water,psf_aware,21659,0.007779678710268363,0.0018530592111631313,4.2068015949916624e-05,0.9089619274684188,35.42883931103508
water,classical_nearest,21659,0.009001469362599039,0.002129945284922834,6.60847236643e-05,0.8758071392069378,34.161804390082075
water,classical_linear,21659,0.009194439360517982,0.0021692980710890713,7.247709718793995e-05,0.8700640269941126,33.97756748583574
water,classical_cubic,21659,0.00886272934185017,0.002084866487911073,6.228470768277457e-05,0.8800048189115773,34.29672281079433
water,richardson_lucy,21659,0.00828292842797715,0.001930379796990729,3.981129378872416e-05,0.8961771820643755,34.88439436974496
forest,psf_aware,21679,0.01268602087451888,0.007970409842220572,2.092525586229823e-05,0.9751459550202665,26.931651235361223
forest,classical_nearest,21679,0.015974542157457465,0.010110385642897806,1.8019921823076817e-05,0.9604959874546116,24.92959127304339
forest,classical_linear,21679,0.01627875725415949,0.01040348024554726,2.1957431620143177e-05,0.9591687103439518,24.765734727062497
forest,classical_cubic,21679,0.015273689072586877,0.009695640428981881,2.1327877149310296e-05,0.9640777544091524,25.31928076105826
forest,richardson_lucy,21679,0.01386304821981313,0.008609168318963892,-0.00014948034397188896,0.9705329098586917,26.16098499207579
agriculture,psf_aware,21676,0.011010379096887282,0.006580607814736311,3.547838687639622e-05,0.9907209274221681,29.935976873438168
agriculture,classical_nearest,21676,0.01473911050018099,0.008771129763393172,6.19672714971648e-05,0.9834941649509441,27.40259682464532
agriculture,classical_linear,21676,0.014965301804281636,0.009083744416423768,6.733702637136951e-05,0.9831306331210451,27.270312727654268
agriculture,classical_cubic,21676,0.013784952479444999,0.008275283383900545,5.71052214788305e-05,0.9856402674782211,27.983916854507527
agriculture,richardson_lucy,21676,0.01176217118904384,0.007013308422393859,4.3474598675155075e-05,0.9894434101012906,29.36227240227039
