scene,method,n_cells,rmse,mae,bias,corr,psnr
urban,psf_aware,29910,0.027181971943724428,0.01742665091800696,3.333870990657061e-05,0.883253258343519,38.19388538388595
urban,classical_nearest,29910,0.03671377636300205,0.02362379401008963,-0.00011947854965070804,0.7801212037874637,35.58292341850049
urban,classical_linear,29910,0.037166572462741736,0.023949231755561986,4.853720123472022e-05,0.7843826315372605,35.47645434364205
urban,classical_cubic,29910,0.03456931906821828,0.02223466610097252,4.192136269497437e-05,0.8167171263242675,36.105688079782894
urban,richardson_lucy,29910,0.03479016040316131,0.018975974707270277,-0.0003161438575255165,0.8043773326339564,36.050375959227836
water,psf_aware,29892,0.00897182367658913,0.002550855098511821,-2.0191803720124065e-07,0.956658278813748,34.19045731372491
water,classical_nearest,29892,0.012045856557699762,0.0033769698683916477,2.2755656067357235e-07,0.9206514001503208,31.63131816411687
water,classical_linear,29892,0.011927522427802949,0.0033818896518474093,-1.3422256370012609e-05,0.9232713891953903,31.71706707261251
water,classical_cubic,29892,0.011112361488730928,0.003126856707924199,-9.572924650401958e-06,0.9337300688809845,32.33194469567675
water,richardson_lucy,29892,0.01016830138991768,0.0027667806033700596,-8.541814169249552e-05,0.9447534871418677,33.10310370392241
forest,psf_aware,29926,0.00899827539808851,0.005601350260467572,-4.699299733321221e-06,0.9870701440045417,31.87027039244752
forest,classical_nearest,29926,0.014451623340369861,0.008733189639736589,-1.4031944532351448e-05,0.9665420411508978,27.755123334086782
forest,classical_linear,29926,0.013783694755681246,0.008598046707376737,9.824765897109185e-06,0.9702565660844874,28.166143071293625
forest,classical_cubic,29926,0.012305572761622566,0.007605606241481011,3.1899611359137365e-06,0.9762707115360628,29.151419356397085
forest,richardson_lucy,29926,0.010168773293200964,0.006153940226526238,-0.00014087814831438878,0.9836372100007696,30.808084708364824
agriculture,psf_aware,29905,0.007408970907209532,0.0045686655944903705,-3.3375863007649274e-06,0.9958631504703112,33.3768652574362
agriculture,classical_nearest,29905,0.013961640589134724,0.007679346151266274,-3.558006461493608e-05,0.9853255476248497,27.873293968588552
agriculture,classical_linear,29905,0.01248551430332503,0.007427729193580238,1.280853735640224e-05,0.9886387049450549,28.843894315990468
agriculture,classical_cubic,29905,0.01083358069121789,0.006387977393011129,1.5478487139142012e-06,0.9913848323500132,30.076582598140284
agriculture,richardson_lucy,29905,0.008112111947260008,0.004934003728270142,3.4952516916842192e-06,0.995056225249034,32.58934434027423
