scene,method,n_cells,rmse,mae,bias,corr,psnr
urban,psf_aware,29910,0.034688580298270946,0.023555921695348647,2.9450314697370167e-05,0.8519258355196987,36.07577517900234
urban,classical_nearest,29910,0.03643097905274073,0.023502865161286527,5.635853577498627e-05,0.7896538702763618,35.650088841012035
urban,classical_linear,29910,0.03773624941907263,0.02433194409159427,3.971531789467132e-05,0.7763263866709258,35.34433102052418
urban,classical_cubic,29910,0.035285242876357564,0.022723072773687583,4.0397093223737296e-05,0.8079507524104474,35.927643472596905
urban,richardson_lucy,29910,0.03819235066616518,0.022942066677461397,-0.00031950749943118837,0.7794508470436154,35.239977911341114
water,psf_aware,29892,0.011061164462187903,0.003439832396096357,2.0233194024892663e-05,0.940314742151466,32.37205203024058
water,classical_nearest,29892,0.011714224668791818,0.0033069061347638356,-8.58785549892073e-06,0.9258879159130514,31.873798039931366
water,classical_linear,29892,0.012076501777988653,0.003428889070328766,-1.5563014132330495e-05,0.9212557705733168,31.609246030529803
water,classical_cubic,29892,0.011307935008048987,0.00318556477942868,-1.0557356921433266e-05,0.9312829915435319,32.18040294863463
water,richardson_lucy,29892,0.011526303646472348,0.0032206991299479995,-7.394412560071948e-05,0.9308333323068151,32.01426789615307
forest,psf_aware,29926,0.012885302856707206,0.00865830170905892,-8.635056563108126e-06,0.9764567901862741,28.751563196204923
forest,classical_nearest,29926,0.013697347849819652,0.00843341399097567,-1.277417271552803e-05,0.9704085043916485,28.220726110079614
forest,classical_linear,29926,0.014077866602043111,0.008806423931637166,7.369837760146027e-06,0.9689749723922784,27.982718897207768
forest,classical_cubic,29926,0.01267759413680131,0.007855105579794358,3.426994074703414e-06,0.9748187627139331,28.892718928613252
forest,richardson_lucy,29926,0.01438313659870946,0.009117544069261067,-0.00014461326645492717,0.9697511962838018,27.796383709274302
agriculture,psf_aware,29905,0.011611307760830386,0.007564171803331937,-7.33548756318235e-06,0.9907306713503892,29.47439882226602
agriculture,classical_nearest,29905,0.012603875890790931,0.007282689284695827,-1.0525732622101164e-05,0.9882712227369355,28.761939187048387
agriculture,classical_linear,29905,0.012823917636274025,0.007653217776847451,1.9387698152595053e-06,0.9880231046436819,28.61160714780846
agriculture,classical_cubic,29905,0.011241696052715298,0.00663601158442475,1.0393639658031964e-06,0.9907357436214175,29.755384770722763
agriculture,richardson_lucy,29905,0.012572784386177732,0.007845077111015,-7.87392699717253e-06,0.9891154494275185,28.78339219249593
