scene,method,rmse,scale
urban,psf_aware,0.034920387696555706,0.5
urban,xref,0.036270086580407625,0.5
urban,classical_nearest,0.0364309788831858,0.5
urban,classical_linear,0.03773624913800253,0.5
urban,classical_cubic,0.03528524256990571,0.5
urban,richardson_lucy,0.03894899878469355,0.5
water,psf_aware,0.01129054771599794,0.5
water,xref,0.011732547665173376,0.5
water,classical_nearest,0.011714224683510362,0.5
water,classical_linear,0.012076501799539565,0.5
water,classical_cubic,0.011307935021248019,0.5
water,richardson_lucy,0.011755740747121731,0.5
forest,psf_aware,0.012909649765594337,0.5
forest,xref,0.013640136122566598,0.5
forest,classical_nearest,0.013697347747892255,0.5
forest,classical_linear,0.014077866500910478,0.5
forest,classical_cubic,0.01267759404123452,0.5
forest,richardson_lucy,0.013003574267292359,0.5
agriculture,psf_aware,0.011816067503314967,0.5
agriculture,xref,0.012632438169396543,0.5
agriculture,classical_nearest,0.012603875918000136,0.5
agriculture,classical_linear,0.01282391765133839,0.5
agriculture,classical_cubic,0.011241696040112006,0.5
agriculture,richardson_lucy,0.011229943051056082,0.5
urban,psf_aware,0.03034879174151691,0.8
urban,xref,0.03729406629825428,0.8
urban,classical_nearest,0.03643097816670407,0.8
urban,classical_linear,0.03773624836548973,0.8
urban,classical_cubic,0.03528524178499813,0.8
urban,richardson_lucy,0.03764684028336625,0.8
water,psf_aware,0.009873002408400977,0.8
water,xref,0.011976070544174194,0.8
water,classical_nearest,0.01171422449451239,0.8
water,classical_linear,0.012076501603371094,0.8
water,classical_cubic,0.011307934822416547,0.8
water,richardson_lucy,0.011246381230925705,0.8
forest,psf_aware,0.010420136613907914,0.8
forest,xref,0.013865069171508742,0.8
forest,classical_nearest,0.013697347772532011,0.8
forest,classical_linear,0.01407786652445985,0.8
forest,classical_cubic,0.012677594064562108,0.8
forest,richardson_lucy,0.012076002351675002,0.8
agriculture,psf_aware,0.008854034626566221,0.8
agriculture,xref,0.012588135402736211,0.8
agriculture,classical_nearest,0.012603876097162172,0.8
agriculture,classical_linear,0.012823917829594295,0.8
agriculture,classical_cubic,0.011241696229156509,0.8
agriculture,richardson_lucy,0.010175822223087452,0.8
urban,psf_aware,0.027181971305072477,1.0
urban,xref,0.038825810103017167,1.0
urban,classical_nearest,0.03643097899681634,1.0
urban,classical_linear,0.037736249286743656,1.0
urban,classical_cubic,0.035285242715895386,1.0
urban,richardson_lucy,0.035386473388912085,1.0
water,psf_aware,0.00897182401846646,1.0
water,xref,0.012442899147333255,1.0
water,classical_nearest,0.011714224512122902,1.0
water,classical_linear,0.012076501656745849,1.0
water,classical_cubic,0.011307934876167212,1.0
water,richardson_lucy,0.010370066962456091,1.0
forest,psf_aware,0.008998275809186374,1.0
forest,xref,0.014662971657095488,1.0
forest,classical_nearest,0.013697347828767421,1.0
forest,classical_linear,0.014077866582076628,1.0
forest,classical_cubic,0.012677594122460892,1.0
forest,richardson_lucy,0.010550702733428053,1.0
agriculture,psf_aware,0.0074089714725418575,1.0
agriculture,xref,0.01350548743860862,1.0
agriculture,classical_nearest,0.012603875853167712,1.0
agriculture,classical_linear,0.012823917644620689,1.0
agriculture,classical_cubic,0.011241696044214374,1.0
agriculture,richardson_lucy,0.008511350041718402,1.0
urban,psf_aware,0.02702634496060605,1.2
urban,xref,0.040379169634556684,1.2
urban,classical_nearest,0.0364309782896235,1.2
urban,classical_linear,0.03773624855556928,1.2
urban,classical_cubic,0.03528524191567976,1.2
urban,richardson_lucy,0.033591642316030755,1.2
water,psf_aware,0.008921844556771634,1.2
water,xref,0.012937067574081503,1.2
water,classical_nearest,0.011714224645716427,1.2
water,classical_linear,0.012076501761851818,1.2
water,classical_cubic,0.011307934997961134,1.2
water,richardson_lucy,0.009674575507518712,1.2
forest,psf_aware,0.008986235911835703,1.2
forest,xref,0.01555165262758433,1.2
forest,classical_nearest,0.013697347810772463,1.2
forest,classical_linear,0.014077866571034844,1.2
forest,classical_cubic,0.01267759411601237,1.2
forest,richardson_lucy,0.009468142623452374,1.2
agriculture,psf_aware,0.0074669775913005325,1.2
agriculture,xref,0.014583082899598478,1.2
agriculture,classical_nearest,0.01260387586065541,1.2
agriculture,classical_linear,0.012823917659484084,1.2
agriculture,classical_cubic,0.011241696069225746,1.2
agriculture,richardson_lucy,0.007292611309914976,1.2
urban,psf_aware,0.034688580421897756,1.5
urban,xref,0.04239257818847175,1.5
urban,classical_nearest,0.03643097898182337,1.5
urban,classical_linear,0.03773624922327628,1.5
urban,classical_cubic,0.03528524269764391,1.5
urban,richardson_lucy,0.0381923503121571,1.5
water,psf_aware,0.011061163798500234,1.5
water,xref,0.01360992036299791,1.5
water,classical_nearest,0.011714224734713757,1.5
water,classical_linear,0.012076501881455665,1.5
water,classical_cubic,0.011307935104735834,1.5
water,richardson_lucy,0.01152630345900825,1.5
forest,psf_aware,0.012885302051619094,1.5
forest,xref,0.016868687278219982,1.5
forest,classical_nearest,0.013697347747320697,1.5
forest,classical_linear,0.014077866517505712,1.5
forest,classical_cubic,0.012677594047079676,1.5
forest,richardson_lucy,0.014383136560332856,1.5
agriculture,psf_aware,0.011611308434773662,1.5
agriculture,xref,0.016181298721927948,1.5
agriculture,classical_nearest,0.012603875817305595,1.5
agriculture,classical_linear,0.012823917623611845,1.5
agriculture,classical_cubic,0.011241695998646248,1.5
agriculture,richardson_lucy,0.012572784087386202,1.5
