scene_class,competitor,n_regions,mean_delta_rmse_competitor_minus_matched,delta_ci95_low,delta_ci95_high,matched_win_fraction
agriculture,classical_cubic,8,0.003470071271167428,0.002578365813838665,0.004510580246248114,1.0
forest,classical_cubic,6,0.005476472823249382,0.0015910272825283452,0.010441371937134195,1.0
urban,classical_cubic,10,0.008502103958521084,0.007073974019908699,0.009883769783849769,1.0
water,classical_cubic,8,0.0002895681612466386,8.69833929541655e-05,0.0005749616886418236,1.0
agriculture,classical_linear,8,0.004722189399318586,0.003545221233752713,0.006071110041519724,1.0
forest,classical_linear,6,0.007425745138626076,0.002120897157104344,0.014282948187322326,1.0
urban,classical_linear,10,0.011290529969464612,0.009428404027966854,0.01313695778048293,1.0
water,classical_linear,8,0.0003999134693168796,0.0001137552598808231,0.0008013198985711754,1.0
agriculture,classical_nearest,8,0.0043424057547098854,0.0032787309573751315,0.00552799814160561,1.0
forest,classical_nearest,6,0.006857458028986359,0.0019447552385740959,0.013342788400932457,1.0
urban,classical_nearest,10,0.010110413764556375,0.00845578101002945,0.011792804151706767,1.0
water,classical_nearest,8,0.00038589347268827237,0.00010207878012915055,0.0007937253987172222,1.0
agriculture,richardson_lucy,8,0.0019129419583279945,0.0013648146826605381,0.0025068004042758836,1.0
forest,richardson_lucy,6,0.0032227484161410427,0.0010450497161450406,0.006063510133064766,1.0
urban,richardson_lucy,10,0.0051968225838090795,0.004029803306626374,0.006668947314660321,1.0
water,richardson_lucy,8,0.00015611525818258256,4.708803797390911e-05,0.0003092023386965498,1.0
