scene,method,n_cells,rmse,mae,bias,corr,psnr,scene_class,region_id
region__agriculture__beauce,psf_aware,29905,0.007919112814674204,0.004401194339481371,-3.8784638214143216e-05,0.9970772415920058,33.9913334956194,agriculture,beauce
region__agriculture__beauce,classical_nearest,29905,0.01288336436697689,0.007150481699529429,-4.025877046507351e-05,0.992464837749315,29.76427830046915,agriculture,beauce
region__agriculture__beauce,classical_linear,29905,0.013007118008022234,0.007548839235396474,-4.433561549340576e-05,0.9924850778222858,29.68124248528007,agriculture,beauce
region__agriculture__beauce,classical_cubic,29905,0.011026994050971507,0.00615186480298586,-4.150250836611392e-05,0.9945265783024451,31.115721288413084,agriculture,beauce
region__agriculture__beauce,richardson_lucy,29905,0.008238228633180949,0.004480115449265619,-6.406970915089202e-05,0.9968445935325219,33.64818728115011,agriculture,beauce
region__agriculture__canterbury,psf_aware,29919,0.0037744581228697604,0.0019429057066732921,5.964549820614879e-06,0.9851240947410701,36.93110197111973,agriculture,canterbury
region__agriculture__canterbury,classical_nearest,29919,0.005792331161350732,0.002922069042860705,1.0875011549971615e-05,0.9659707448507419,33.21112652601968,agriculture,canterbury
region__agriculture__canterbury,classical_linear,29919,0.006015148248988884,0.0030800800294446544,1.3697367849844861e-05,0.9637969308728008,32.88326748889058,agriculture,canterbury
region__agriculture__canterbury,classical_cubic,29919,0.005274767969027404,0.0026460738243752895,1.0966525860527826e-05,0.9720448470408247,34.024126991460655,agriculture,canterbury
region__agriculture__canterbury,richardson_lucy,29919,0.004428051936029652,0.00206448349303979,-4.16853038140691e-05,0.9798420562538231,35.54394007659906,agriculture,canterbury
region__agriculture__iowa,psf_aware,29919,0.00741154953799781,0.003349177379287749,-1.3382783656854386e-05,0.9646994621375545,35.56120912643685,agriculture,iowa
region__agriculture__iowa,classical_nearest,29919,0.009772789163685484,0.00448880707670463,9.204267697473106e-06,0.9404478889995735,33.15901885140391,agriculture,iowa
region__agriculture__iowa,classical_linear,29919,0.010095309868887228,0.004731638850735436,1.3592035300994071e-05,0.9375601327702237,32.87699636373597,agriculture,iowa
region__agriculture__iowa,classical_cubic,29919,0.00913815751781899,0.004122155810239987,5.150904944405294e-06,0.9484979616049939,33.742216643488916,agriculture,iowa
region__agriculture__iowa,richardson_lucy,29919,0.008842724714113008,0.003529763179730196,-0.00018367250913297706,0.9506935536119212,34.027667339971465,agriculture,iowa
region__agriculture__mato_grosso,psf_aware,29022,0.0030221362843328983,0.0017904242484360969,-9.018784433441039e-06,0.9939461969342555,44.33830633708675,agriculture,mato_grosso
region__agriculture__mato_grosso,classical_nearest,29022,0.005297844926759172,0.0025908081798648843,-3.7330028508378374e-05,0.9819494507011199,39.462602401091935,agriculture,mato_grosso
