scene,method,n_cells,rmse,mae,bias,corr,psnr,scene_class,region_id
region__agriculture__canterbury,psf_aware,29919,0.00548702752681202,0.0027588700992388893,1.5408563209582305e-06,0.9709760855229232,35.35200461084923,agriculture,canterbury
region__agriculture__canterbury,classical_nearest,29919,0.007941199317201953,0.0039695896870744485,6.452471612186399e-06,0.9396701857338949,32.141025458009565,agriculture,canterbury
region__agriculture__canterbury,classical_linear,29919,0.008154029552589969,0.0041163195998876355,9.274827912059645e-06,0.936869929468084,31.911301766861193,agriculture,canterbury
region__agriculture__canterbury,classical_cubic,29919,0.007465777272583309,0.00371271787939777,6.54398592274261e-06,0.9471456336580368,32.67724680094992,agriculture,canterbury
region__agriculture__canterbury,richardson_lucy,29919,0.006482502103562228,0.003091932282121451,-4.610784375185432e-05,0.9599638540035519,33.90389406206118,agriculture,canterbury
region__agriculture__iowa,psf_aware,29919,0.009998954108001425,0.0044932405952533665,5.951730048275157e-06,0.942326164829784,34.17143549387999,agriculture,iowa
region__agriculture__iowa,classical_nearest,29919,0.012906905595260042,0.005896939367211284,2.853861200330952e-05,0.9052814617006448,31.954084325832014,agriculture,iowa
region__agriculture__iowa,classical_linear,29919,0.013255384247609883,0.006160025584936887,3.292637960683049e-05,0.9010512616385742,31.722680564173636,agriculture,iowa
region__agriculture__iowa,classical_cubic,29919,0.01234462684432615,0.005584743991033482,2.448524925024171e-05,0.9142243853971215,32.340967665480854,agriculture,iowa
region__agriculture__iowa,richardson_lucy,29919,0.011738907656209566,0.004928932748748648,-0.00016433816482714064,0.9219592325561704,32.777973270755886,agriculture,iowa
region__agriculture__mato_grosso,psf_aware,29914,0.004366863464819785,0.0028791751309321704,-2.275852994213626e-06,0.9878945971128142,41.37171779330893,agriculture,mato_grosso
region__agriculture__mato_grosso,classical_nearest,29914,0.00684482749273811,0.0037711913998605432,-3.096297024154261e-05,0.9707518487567033,37.46785991591624,agriculture,mato_grosso
region__agriculture__mato_grosso,classical_linear,29914,0.006929438403267356,0.003874497276558917,-1.6863707485640203e-05,0.9704829436655595,37.36114928897389,agriculture,mato_grosso
region__agriculture__mato_grosso,classical_cubic,29914,0.006190715963744167,0.003601962351543768,-1.1512531957508704e-05,0.9763241629558631,38.340292489236504,agriculture,mato_grosso
region__agriculture__mato_grosso,richardson_lucy,29914,0.006988918453651018,0.0032213158806377595,-0.00014888177223405457,0.9688878031059153,37.286910597766266,agriculture,mato_grosso
region__agriculture__pampas,psf_aware,29888,0.023897047258946796,0.011399162516054722,2.269913293236799e-06,0.9155961963029301,33.89411645804938,agriculture,pampas
region__agriculture__pampas,classical_nearest,29888,0.03153877759211439,0.015556410437808657,8.529074184324322e-06,0.8508756936117676,31.48410417585491,agriculture,pampas
region__agriculture__pampas,classical_linear,29888,0.032493016727488576,0.016085736061675335,4.61969396303362e-06,0.8415903745291481,31.2252006242327,agriculture,pampas
region__agriculture__pampas,classical_cubic,29888,0.030394377710019595,0.014796655413993071,3.5572140883929567e-06,0.8633390686974273,31.805136184216536,agriculture,pampas
region__agriculture__pampas,richardson_lucy,29888,0.027341381799353498,0.012563128223482012,-0.00014689915212467926,0.8895465479802155,32.72459211706635,agriculture,pampas
region__agriculture__po_valley,psf_aware,29907,0.008735420861747521,0.005347319188904159,6.039567448934461e-06,0.9875130664233507,32.83765893012315,agriculture,po_valley
region__agriculture__po_valley,classical_nearest,29907,0.013824729538495461,0.008406383871830873,1.626149192116112e-05,0.9692115920394363,28.850202728067657,agriculture,po_valley
region__agriculture__po_valley,classical_linear,29907,0.014098304370263907,0.00873954217022355,1.3535671088322994e-06,0.9683917092841969,28.679997954430863,agriculture,po_valley
region__agriculture__po_valley,classical_cubic,29907,0.012617829857307404,0.007754548554157276,4.53599540461117e-06,0.9746079600711327,29.643642262992124,agriculture,po_valley
region__agriculture__po_valley,richardson_lucy,29907,0.009937717242752513,0.006124053101711488,-3.761650985264709e-05,0.9840930943583779,31.717602889346622,agriculture,po_valley
region__agriculture__punjab,psf_aware,29915,0.009552077056364228,0.005554470994383515,-1.5062206838365266e-06,0.9732209997493041,32.09226293816292,agriculture,punjab
region__agriculture__punjab,classical_nearest,29915,0.014104539903948625,0.00811365701265343,2.8715447103814816e-05,0.942758608136537,28.70704080594485,agriculture,punjab
region__agriculture__punjab,classical_linear,29915,0.014446822134240745,0.00844228044458913,4.999899790600034e-06,0.9409873583650386,28.49877276516034,agriculture,punjab
region__agriculture__punjab,classical_cubic,29915,0.013113657372248032,0.007541765731616317,1.8223178543844052e-06,0.9512028324960301,29.33974263445366,agriculture,punjab
region__agriculture__punjab,richardson_lucy,29915,0.010764196090327383,0.0061778718549755085,-6.312137300289636e-05,0.9666117158985527,31.05458726970989,agriculture,punjab
region__agriculture__ukraine,psf_aware,29888,0.011667309967532392,0.007068799943043555,-4.720461757648467e-06,0.9727839955109332,34.86563206071573,agriculture,ukraine
region__agriculture__ukraine,classical_nearest,29888,0.016656538450961864,0.009894999997351512,-1.9576452793913685e-05,0.944641426222013,31.773351746685897,agriculture,ukraine
region__agriculture__ukraine,classical_linear,29888,0.01717719140671379,0.010266987735213336,-5.969422774438495e-06,0.941386239830453,31.506003679619855,agriculture,ukraine
region__agriculture__ukraine,classical_cubic,29888,0.015759917302565596,0.009390532294570684,-5.862525526945962e-06,0.9508510442233479,32.253968095233304,agriculture,ukraine
region__agriculture__ukraine,richardson_lucy,29888,0.01438225698958794,0.00796432434912066,-0.00012913661505092793,0.9587692460592073,33.0485058870334,agriculture,ukraine
region__agriculture__western_australia,psf_aware,29832,0.00900185728845638,0.005811817886981665,2.137242575878111e-06,0.9917877095072531,35.11903110412775,agriculture,western_australia
region__agriculture__western_australia,classical_nearest,29832,0.013628285679639182,0.008508784469872908,3.4753473892160604e-05,0.9812706920213171,31.51684899925515,agriculture,western_australia
region__agriculture__western_australia,classical_linear,29832,0.013929885885055011,0.008755148897188763,1.831985430651614e-05,0.9805116421163412,31.326722401799188,agriculture,western_australia
region__agriculture__western_australia,classical_cubic,29832,0.012580225379225717,0.007922670112402806,1.3208522874193622e-05,0.9841023878131047,32.21190514054851,agriculture,western_australia
region__agriculture__western_australia,richardson_lucy,29832,0.010374212863860357,0.006535261766970074,-5.658034260963412e-05,0.9891384372541838,33.88657047805238,agriculture,western_australia
region__forest__amazon,psf_aware,29818,0.033970053120149855,0.02291349831471495,-2.869639443045583e-05,0.905789007699384,29.578813591479374,forest,amazon
region__forest__amazon,classical_nearest,29818,0.044313239364974444,0.029901297279822294,-1.582392856583136e-05,0.8397428242121977,27.270068135776036,forest,amazon
region__forest__amazon,classical_linear,29818,0.04556543981006236,0.030857763143600624,1.2437606686263331e-06,0.8311874656876476,27.02802678014479,forest,amazon
region__forest__amazon,classical_cubic,29818,0.04264246762241751,0.028759301324524957,-5.621499213235696e-06,0.8536705163874788,27.60389154376547,forest,amazon
region__forest__amazon,richardson_lucy,29818,0.03764097021293329,0.025020338740165196,-0.00021715176312877676,0.8858411681566687,28.687521930616345,forest,amazon
region__forest__black_forest,psf_aware,29912,0.012191074007338628,0.0069896797116057,2.0440675931733365e-06,0.9583390392203605,43.19397858609992,forest,black_forest
region__forest__black_forest,classical_nearest,29912,0.017133760800653857,0.009694080021012302,-1.2787660656959679e-05,0.9174871009016063,40.237763949310974,forest,black_forest
region__forest__black_forest,classical_linear,29912,0.017649431951587094,0.010015565036943863,-4.185126196068975e-06,0.9127358001908312,39.98020329742217,forest,black_forest
region__forest__black_forest,classical_cubic,29912,0.016410433511145222,0.009182468705587553,-2.5508242363359765e-06,0.9249316203695641,40.61241686282347,forest,black_forest
region__forest__black_forest,richardson_lucy,29912,0.016758348512080055,0.007841469498882262,-0.00019592986575781894,0.9200877790633204,40.43019358216388,forest,black_forest
region__forest__congo,psf_aware,29925,0.0017582271492789891,0.0013810627980028578,-6.333659827061863e-07,0.6924301010497897,26.59680672305891,forest,congo
region__forest__congo,classical_nearest,29925,0.0020102896598725535,0.001577344099798846,-2.3552489684040386e-07,0.5787793087694281,25.43313358324486,forest,congo
region__forest__congo,classical_linear,29925,0.0020477407495675254,0.0016072635482389825,1.3660608402569293e-07,0.5578238782478441,25.272806905044682,forest,congo
region__forest__congo,classical_cubic,29925,0.0019880934248477666,0.0015613264587700814,4.512674129298058e-12,0.5946471924980833,25.52957058000064,forest,congo
region__forest__congo,richardson_lucy,29925,0.0018586888981151075,0.0014591273906622813,-1.4523410221986603e-06,0.6552395142132363,26.11417226130922,forest,congo
region__forest__finland_boreal,psf_aware,29907,0.004250649890489378,0.002510804256382455,2.916017295010758e-06,0.9868128845734159,33.7903614638964,forest,finland_boreal
region__forest__finland_boreal,classical_nearest,29907,0.0063718218345339495,0.003554993780417266,7.96411092879112e-06,0.9707818568068274,30.274195693942243,forest,finland_boreal
region__forest__finland_boreal,classical_linear,29907,0.006512245387477773,0.0036764340054881066,5.1086433886406465e-06,0.9698211406078159,30.08485303352113,forest,finland_boreal
region__forest__finland_boreal,classical_cubic,29907,0.005889388653249407,0.0033354507311800564,4.079531694565569e-06,0.9752226795554384,30.958063864141515,forest,finland_boreal
region__forest__finland_boreal,richardson_lucy,29907,0.004998739597094543,0.0028123956397917557,-6.776479107185789e-05,0.9821593212382704,32.38225790313426,forest,finland_boreal
region__forest__new_zealand,psf_aware,29899,0.004665006546419299,0.0028618085897708975,-1.968417181479235e-06,0.9720002707480846,33.52294578378772,forest,new_zealand
region__forest__new_zealand,classical_nearest,29899,0.006644382275272373,0.003902839582842646,-1.297342589277045e-05,0.943382005265539,30.450898713868547,forest,new_zealand
region__forest__new_zealand,classical_linear,29899,0.006829813350243034,0.00404308111187153,-1.4663773869400905e-05,0.9404439224786606,30.21181423137518,forest,new_zealand
region__forest__new_zealand,classical_cubic,29899,0.0062546006611251615,0.003720109158414292,-1.1688378697969814e-05,0.9502600972744267,30.97599920601383,forest,new_zealand
region__forest__new_zealand,richardson_lucy,29899,0.005567284839623538,0.0031845611741921124,-5.3150419016221186e-05,0.9604891425566822,31.987122099723777,forest,new_zealand
region__forest__patagonia,psf_aware,29871,0.03251037604005331,0.014555872251483918,2.8285095713065438e-05,0.9867789601869551,35.12292233056818,forest,patagonia
region__forest__patagonia,classical_nearest,29871,0.05401664099234043,0.023825748549384736,3.110832248718876e-05,0.9640223262880799,30.712810704228296,forest,patagonia
region__forest__patagonia,classical_linear,29871,0.055295186336548126,0.02491120771296278,3.604549546354531e-05,0.9626960213792028,30.509615670613258,forest,patagonia
region__forest__patagonia,classical_cubic,29871,0.04901923982044069,0.02179345070140288,3.9532656085141456e-05,0.9707255686911093,31.556030748257513,forest,patagonia
region__forest__patagonia,richardson_lucy,29871,0.04185784519072918,0.01727398897816681,-0.0006911223399872036,0.9787206107992772,32.92782484003401,forest,patagonia
region__urban__cape_town,psf_aware,29872,0.03512435907303185,0.02381040900912148,-1.1527746821412978e-05,0.9320223676410838,27.803348515123673,urban,cape_town
region__urban__cape_town,classical_nearest,29872,0.05086084534956598,0.034610298106454,2.9716338686492637e-05,0.85841882488631,24.58784519553582,urban,cape_town
region__urban__cape_town,classical_linear,29872,0.052470839894982,0.03590142311174449,-1.5170976870670071e-05,0.8517606726549023,24.31715636107906,urban,cape_town
region__urban__cape_town,classical_cubic,29872,0.04814944104266052,0.03280607927014066,-1.4600874593759022e-05,0.8764714279695843,25.063691683220664,urban,cape_town
region__urban__cape_town,richardson_lucy,29872,0.03994842982131946,0.026964477114181425,-0.0003740512322723925,0.9151451659258463,26.685522400652324,urban,cape_town
