scene,status,scene_class,region_id,patch_id,patch_row,patch_col,attempt,product_id,error
region__agriculture__beauce,ok,agriculture,beauce,agriculture__beauce__r1c1,1,1,1,,
region__agriculture__canterbury,ok,agriculture,canterbury,agriculture__canterbury__r1c1,1,1,1,S2A_59GNM_20240427_0_L2A,
region__agriculture__iowa,ok,agriculture,iowa,agriculture__iowa__r1c1,1,1,1,S2B_15TVG_20230908_1_L2A,
region__agriculture__mato_grosso,ok,agriculture,mato_grosso,agriculture__mato_grosso__r1c1,1,1,1,S2C_21LWF_20250912_0_L2A,
region__agriculture__nile_delta,ok,agriculture,nile_delta,agriculture__nile_delta__r1c1,1,1,1,,
region__agriculture__pampas,ok,agriculture,pampas,agriculture__pampas__r1c1,1,1,1,S2B_21HUB_20251203_0_L2A,
region__agriculture__po_valley,ok,agriculture,po_valley,agriculture__po_valley__r1c1,1,1,1,,
region__agriculture__punjab,ok,agriculture,punjab,agriculture__punjab__r1c1,1,1,1,S2A_43REP_20231019_0_L2A,
region__agriculture__ukraine,ok,agriculture,ukraine,agriculture__ukraine__r1c1,1,1,1,,
region__agriculture__western_australia,ok,agriculture,western_australia,agriculture__western_australia__r1c1,1,1,1,,
region__forest__amazon,ok,forest,amazon,forest__amazon__r1c1,1,1,1,S2A_20MRB_20240807_0_L2A,
region__forest__appalachian,ok,forest,appalachian,forest__appalachian__r1c1,1,1,1,,
region__forest__black_forest,ok,forest,black_forest,forest__black_forest__r1c1,1,1,1,,
region__forest__borneo,failed,forest,borneo,,-1,-1,9,,9 position(s) tried; RuntimeError | last: RuntimeError: No earth-search items for region__forest__borneo in 2023-01-01/2026-09-30 below 10% cloud
region__forest__canadian_rockies,ok,forest,canadian_rockies,forest__canadian_rockies__r1c1,1,1,1,,
region__forest__congo,ok,forest,congo,forest__congo__r2c1,2,1,5,S2B_34MCE_20240119_0_L2A,
region__forest__finland_boreal,ok,forest,finland_boreal,forest__finland_boreal__r1c1,1,1,1,,
region__forest__new_zealand,ok,forest,new_zealand,forest__new_zealand__r1c1,1,1,1,S2B_59GPQ_20230329_0_L2A,
region__forest__patagonia,ok,forest,patagonia,forest__patagonia__r1c1,1,1,1,S2C_18GYT_20250325_0_L2A,
region__forest__tasmania,ok,forest,tasmania,forest__tasmania__r1c1,1,1,1,,
region__urban__cape_town,ok,urban,cape_town,urban__cape_town__r1c1,1,1,1,S2B_34HBH_20231002_0_L2A,
region__urban__mexico_city,ok,urban,mexico_city,urban__mexico_city__r1c1,1,1,1,,
region__urban__montreal,ok,urban,montreal,urban__montreal__r1c1,1,1,1,S2A_18TXR_20230922_0_L2A,
region__urban__nairobi,ok,urban,nairobi,urban__nairobi__r1c1,1,1,1,S2A_37MBU_20230128_0_L2A,
region__urban__paris,ok,urban,paris,urban__paris__r1c1,1,1,1,,
region__urban__reykjavik,ok,urban,reykjavik,urban__reykjavik__r1c1,1,1,1,,
region__urban__sao_paulo,ok,urban,sao_paulo,urban__sao_paulo__r1c1,1,1,1,S2A_23KLQ_20240505_0_L2A,
region__urban__singapore,ok,urban,singapore,urban__singapore__r1c1,1,1,1,S2B_48NUG_20230316_0_L2A,
region__urban__sydney,ok,urban,sydney,urban__sydney__r1c1,1,1,1,S2A_56HLH_20240528_0_L2A,
region__urban__tokyo,ok,urban,tokyo,urban__tokyo__r1c1,1,1,1,S2B_54SUE_20231208_0_L2A,
region__water__caspian_sea,ok,water,caspian_sea,water__caspian_sea__r1c1,1,1,1,S2B_38TQM_20230821_0_L2A,
region__water__great_salt_lake,ok,water,great_salt_lake,water__great_salt_lake__r1c1,1,1,1,,
region__water__lake_baikal,ok,water,lake_baikal,water__lake_baikal__r1c1,1,1,1,S2B_49UCV_20250608_0_L2A,
region__water__lake_constance,ok,water,lake_constance,water__lake_constance__r1c1,1,1,1,,
region__water__lake_geneva,ok,water,lake_geneva,water__lake_geneva__r1c1,1,1,1,,
region__water__lake_michigan,ok,water,lake_michigan,water__lake_michigan__r1c1,1,1,1,S2A_16TDN_20240414_0_L2A,
region__water__lake_tahoe,ok,water,lake_tahoe,water__lake_tahoe__r1c1,1,1,1,,
region__water__lake_taupo,ok,water,lake_taupo,water__lake_taupo__r1c1,1,1,1,S2C_60HVC_20250519_0_L2A,
region__water__lake_titicaca,ok,water,lake_titicaca,water__lake_titicaca__r1c1,1,1,1,S2B_19LDC_20250922_0_L2A,
region__water__lake_victoria,ok,water,lake_victoria,water__lake_victoria__r1c1,1,1,1,S2B_36MWD_20230718_0_L2A,
