scene,readable,shape,n_pixels,finite_fraction,mean,std,relative_std,p01,p99,bright_fraction,flags,usable,scene_class,region_id,patch_id
region__agriculture__beauce,True,256x256,65536,1.0,0.2379197967529297,0.1112426612991951,0.4675637034723773,0.021099999999999994,0.37060000000000004,0.381256103515625,bright 38% (cloud/snow?),False,agriculture,beauce,agriculture__beauce__r1c1
region__agriculture__canterbury,True,256x256,65536,1.0,0.03613044288253253,0.023965194072993877,0.6632964381563113,0.009235000144690277,0.11612999886274367,3.0517578125e-05,,True,agriculture,canterbury,agriculture__canterbury__r1c1
region__agriculture__iowa,True,256x256,65536,1.0,0.056453132747094514,0.030772373542067785,0.545095941440939,0.029999999329447746,0.17180000245571136,0.000274658203125,,True,agriculture,iowa,agriculture__iowa__r1c1
region__agriculture__mato_grosso,True,256x256,65536,1.0,0.23951438749662657,0.03940286863152731,0.16451148944896798,0.045899998396635056,0.29100000858306885,0.0023040771484375,,True,agriculture,mato_grosso,agriculture__mato_grosso__r1c1
region__agriculture__nile_delta,True,256x241,61696,1.0,0.1457446609180498,0.059675160009901765,0.40945005898676645,0.03139500000000001,0.3016,0.010567946058091287,too small (<256),False,agriculture,nile_delta,agriculture__nile_delta__r1c1
region__agriculture__pampas,True,256x256,65536,1.0,0.08104332285429194,0.05368146125935472,0.662379815742116,0.010499999858438969,0.26660001277923584,0.006439208984375,,True,agriculture,pampas,agriculture__pampas__r1c1
region__agriculture__po_valley,True,256x256,65536,1.0,0.15504636993408205,0.05386535023896233,0.34741445582933145,0.041700000000000015,0.36663000000000034,0.0252838134765625,,True,agriculture,po_valley,agriculture__po_valley__r1c1
region__agriculture__punjab,True,256x256,65536,1.0,0.0724541779564234,0.039256937522200816,0.5418174442033057,0.01860000006854534,0.2325300022959712,0.000274658203125,,True,agriculture,punjab,agriculture__punjab__r1c1
region__agriculture__ukraine,True,256x256,65536,1.0,0.12198280181884766,0.05080770584683117,0.4165153209243701,0.016600000000000004,0.21920000000000003,0.000946044921875,,True,agriculture,ukraine,agriculture__ukraine__r1c1
region__agriculture__western_australia,True,256x256,65536,1.0,0.2353962615966797,0.0676385155226361,0.28733895374483787,0.03839999999999999,0.33199999999999996,0.1189422607421875,,True,agriculture,western_australia,agriculture__western_australia__r1c1
region__forest__amazon,True,256x256,65536,1.0,0.132783743361216,0.07396477651672458,0.557031867338728,0.01940000057220459,0.3912000060081482,0.0301055908203125,,True,forest,amazon,forest__amazon__r1c1
region__forest__appalachian,False,,0,,,,,,,,unreadable: KeyError,False,forest,appalachian,forest__appalachian__r1c1
region__forest__black_forest,True,256x256,65536,1.0,0.0587762435913086,0.039833217672668536,0.6777094832674673,0.010599999999999998,0.1519,0.000274658203125,,True,forest,black_forest,forest__black_forest__r1c1
region__forest__canadian_rockies,True,0x0,0,,,,,,,,too small (<256); no finite pixels,False,forest,canadian_rockies,forest__canadian_rockies__r1c1
region__forest__congo,True,256x256,65536,1.0,0.02246525426090784,0.001962778369198359,0.08736951500316745,0.01810000091791153,0.027400000020861626,0.0,,True,forest,congo,forest__congo__r2c1
region__forest__finland_boreal,True,256x256,65536,1.0,0.02607025451660156,0.02331289291063972,0.8942334220708912,0.0058,0.1316,0.0,,True,forest,finland_boreal,forest__finland_boreal__r1c1
region__forest__new_zealand,True,256x256,65536,1.0,0.01976217196740404,0.019480726511436307,0.9857583743106804,9.999999747378752e-05,0.09019999951124191,0.0,,True,forest,new_zealand,forest__new_zealand__r1c1
region__forest__patagonia,True,256x256,65536,1.0,0.12387817689837655,0.2064309762061777,1.66640308547262,9.999999747378752e-05,0.8855999708175659,0.11181640625,,True,forest,patagonia,forest__patagonia__r1c1
region__forest__tasmania,True,256x0,0,,,,,,,,too small (<256); no finite pixels,False,forest,tasmania,forest__tasmania__r1c1
region__urban__cape_town,True,256x256,65536,0.9999847412109375,0.120515977821474,0.08589244396403134,0.7127058628795915,0.0026000000070780516,0.4603999853134155,0.04238956282902266,,True,urban,cape_town,urban__cape_town__r1c1
region__urban__mexico_city,True,256x256,65536,1.0,0.17037373352050783,0.06822895736594135,0.4004664096753427,0.05793500000000001,0.4052,0.0482177734375,,True,urban,mexico_city,urban__mexico_city__r1c1
region__urban__montreal,True,256x256,65536,1.0,0.09566269087329715,0.05265440387593292,0.5504173402948948,0.026799999177455902,0.28220000863075256,0.00689697265625,,True,urban,montreal,urban__montreal__r1c1
region__urban__nairobi,True,256x256,65536,1.0,0.10106372082404391,0.0404226218392546,0.3999716368016179,0.02969999983906746,0.21539999544620514,0.0016937255859375,,True,urban,nairobi,urban__nairobi__r1c1
region__urban__paris,True,256x256,65536,1.0,0.09770637359619141,0.050486184770869115,0.5167133208681185,0.015399999999999997,0.27799500000000044,0.006988525390625,,True,urban,paris,urban__paris__r1c1
region__urban__reykjavik,True,256x256,65536,0.9999237060546875,0.07025346935038379,0.07221502302339866,1.0279210933090261,-0.0012999999999999956,0.3478399999999994,0.015137873678106544,,True,urban,reykjavik,urban__reykjavik__r1c1
region__urban__sao_paulo,True,256x256,65536,1.0,0.10700928202809479,0.059860619704470604,0.5593965174792452,0.015200000256299973,0.2952599912881857,0.009246826171875,,True,urban,sao_paulo,urban__sao_paulo__r1c1
region__urban__singapore,True,256x256,65536,1.0,0.17009060675772503,0.06189106621903231,0.3638711590181413,0.04659999907016754,0.33079999685287476,0.01556396484375,,True,urban,singapore,urban__singapore__r1c1
region__urban__sydney,True,256x256,65536,1.0,0.061600250295384074,0.06855516113691047,1.1129039380225954,0.0015999999595806003,0.30833000391721754,0.011016845703125,,True,urban,sydney,urban__sydney__r1c1
region__urban__tokyo,True,256x256,65536,0.99993896484375,0.0769905039889155,0.04412592245450787,0.5731346097027858,0.019600000232458115,0.21580000221729279,0.0029909052066166147,,True,urban,tokyo,urban__tokyo__r1c1
region__water__caspian_sea,True,256x256,65536,1.0,0.02013035586065115,0.0443977367132934,2.2055117664401425,0.006000000052154064,0.2635999917984009,0.0013275146484375,,True,water,caspian_sea,water__caspian_sea__r1c1
region__water__great_salt_lake,True,256x256,65536,1.0,0.0872277359008789,0.005936431614472477,0.06805669725531259,0.08380000000000001,0.1116,0.0,,True,water,great_salt_lake,water__great_salt_lake__r1c1
region__water__lake_baikal,True,256x256,65536,0.8984375,0.00017119904688750803,0.00044175184457270994,2.580340560324366,9.999999747378752e-05,0.002300000051036477,0.0,finite 89.8%,False,water,lake_baikal,water__lake_baikal__r1c1
region__water__lake_constance,True,256x256,65536,1.0,0.010552671813964843,0.0010900536883745877,0.10329646440175168,0.0087,0.013999999999999999,0.0,,True,water,lake_constance,water__lake_constance__r1c1
region__water__lake_geneva,True,256x256,65536,1.0,0.009440675354003905,0.01439599909923369,1.5248908112413984,0.0040999999999999925,0.0902,0.0,,True,water,lake_geneva,water__lake_geneva__r1c1
region__water__lake_michigan,True,256x256,65536,1.0,0.009345237769316839,0.0012191729245688147,0.13045927291135573,0.007699999958276749,0.010900000110268593,0.0,,True,water,lake_michigan,water__lake_michigan__r1c1
region__water__lake_tahoe,True,256x256,65536,1.0,-0.008493557739257813,0.0005404110181756026,0.0636259898108169,-0.009599999999999997,-0.007099999999999995,0.0,,True,water,lake_tahoe,water__lake_tahoe__r1c1
region__water__lake_taupo,True,256x256,65536,0.9999847412109375,0.00014616769419927535,0.0005493539913943392,3.7583817299969606,9.999999747378752e-05,0.0007999999797903001,0.0,,True,water,lake_taupo,water__lake_taupo__r1c1
region__water__lake_titicaca,True,256x256,65536,1.0,0.014403080762473763,0.0019449185803197455,0.13503490068507407,0.007000000216066837,0.017999999225139618,0.0,,True,water,lake_titicaca,water__lake_titicaca__r1c1
region__water__lake_victoria,True,256x256,65536,0.50390625,0.03406269989364921,0.002928584828593157,0.08597629776080006,0.027799999341368675,0.041600000113248825,0.0,finite 50.4%,False,water,lake_victoria,water__lake_victoria__r1c1
