scene,method,total_s,build_s,invert_s,project_s
urban,psf_aware,0.47223520278930664,0.20877671241760254,0.025217294692993164,0.0006678104400634766
urban,classical_nearest,0.22850465774536133,,,
urban,classical_linear,0.7125630378723145,,,
urban,classical_cubic,1.6656582355499268,,,
water,psf_aware,0.48441028594970703,0.20690226554870605,0.025251150131225586,0.0006530284881591797
water,classical_nearest,0.23956632614135742,,,
water,classical_linear,0.7194802761077881,,,
water,classical_cubic,1.616837501525879,,,
forest,psf_aware,0.4990208148956299,0.2093501091003418,0.025585412979125977,0.0006797313690185547
forest,classical_nearest,0.238724946975708,,,
forest,classical_linear,0.7112512588500977,,,
forest,classical_cubic,1.5752556324005127,,,
agriculture,psf_aware,0.47392964363098145,0.22121596336364746,0.025222063064575195,0.0006864070892333984
agriculture,classical_nearest,0.22702598571777344,,,
agriculture,classical_linear,0.7129008769989014,,,
agriculture,classical_cubic,1.5872583389282227,,,
