scene,method,comparison,n,rmse,mae,bias,corr,r2
urban,psf_aware,estimated_vs_esri_no_psf,169675,0.06839533372635404,0.050804201908515534,1.232969501765624e-05,0.9292323474623654,0.8620325523689184
urban,psf_aware,estimated_vs_esri_psf,169675,0.05251911500128683,0.040208209843196535,-1.5281587674460742e-05,0.9596680764049325,0.8426746827788091
urban,psf_aware_wide,estimated_vs_esri_no_psf,169675,0.14261247045447964,0.11059712049378821,-1.4411812354248614e-05,0.8677756152922416,0.4001554872320412
urban,psf_aware_wide,estimated_vs_esri_psf,169675,0.18010745863474245,0.1405681162132454,-4.2023095046365595e-05,0.8073183075333437,-0.8502363726668214
urban,psf_aware_narrow,estimated_vs_esri_no_psf,169132,0.09799034548878888,0.07551624103639269,-3.968974550191671e-05,0.8581608722011883,0.7165203873280646
urban,psf_aware_narrow,estimated_vs_esri_psf,169132,0.031089347903954713,0.021581596809823515,-4.129599977703251e-05,0.9723289315290436,0.9448022982086061
urban,richardson_lucy,estimated_vs_esri_no_psf,168390,0.0822344374812336,0.06280045875478082,0.00025299144143537766,0.9030299691266599,0.8001581606594648
urban,richardson_lucy,estimated_vs_esri_psf,168390,0.018928616162476496,0.014515919642516653,0.00025263115569134026,0.9938326724758869,0.9795003975240547
urban,classical_nearest,estimated_vs_esri_no_psf,167797,0.10564315178995028,0.08199774049446601,-0.00015338487121560826,0.8275140935026966,0.6700375592536406
urban,classical_nearest,estimated_vs_esri_psf,167797,0.04202336796057017,0.03034334647777025,-0.00015142815083350023,0.9486847861979606,0.8988309754661127
urban,classical_linear,estimated_vs_esri_no_psf,167797,0.10505278588908153,0.08273243215188879,4.624645755895489e-06,0.843788542909856,0.6737151147525853
urban,classical_linear,estimated_vs_esri_psf,167797,0.02443277650536965,0.018741027401605024,6.581366138003515e-06,0.9863414950900578,0.9658011505486231
urban,classical_cubic,estimated_vs_esri_no_psf,167797,0.09601043836699723,0.07485774903445784,1.7921684940830853e-05,0.8705463817051701,0.7274672406164875
urban,classical_cubic,estimated_vs_esri_psf,167797,0.013537064225861819,0.009956111519889578,1.987840532293888e-05,0.9950743458577527,0.9895018003087103
urban,esri_psf_degradation,esri_psf_vs_esri_no_psf,169675,0.08589315775076807,0.06696308720628842,2.7611282692116983e-05,0.9035736342681331,0.7824090528236455
water,psf_aware,estimated_vs_esri_no_psf,169644,0.021127164916326515,0.006889282476818984,-2.2914640107233492e-07,0.9848275783806227,0.9697898607611632
water,psf_aware,estimated_vs_esri_psf,169644,0.017013558042383414,0.00557306205262792,8.569272713839919e-07,0.9900997644553742,0.977642213950576
water,psf_aware_wide,estimated_vs_esri_no_psf,169644,0.045610299749617784,0.015749804738402335,-5.551486477721889e-06,0.9464269744346758,0.8592021137226276
water,psf_aware_wide,estimated_vs_esri_psf,169644,0.05898453550426764,0.02008097227454626,-4.465412805265562e-06,0.9084854895681833,0.7312708185161512
water,psf_aware_narrow,estimated_vs_esri_no_psf,169100,0.03131614026306769,0.010212848785780547,1.2141046293811252e-05,0.966623281644314,0.9333772010494944
water,psf_aware_narrow,estimated_vs_esri_psf,169100,0.010150144381877703,0.0032508632208158427,5.78273533849516e-06,0.9960044778515147,0.992016680834358
water,richardson_lucy,estimated_vs_esri_no_psf,168364,0.025614702506033402,0.008366562991359943,9.494315634647043e-05,0.9777224923747366,0.9552729076816148
water,richardson_lucy,estimated_vs_esri_psf,168364,0.006582388503446537,0.0021679793600244274,9.168545751855542e-05,0.998478961458357,0.9966310253519345
water,classical_nearest,estimated_vs_esri_no_psf,167767,0.034233128713957894,0.011155921585271853,3.481132868598261e-05,0.9594511834299235,0.9199069754116898
water,classical_nearest,estimated_vs_esri_psf,167767,0.014748343979661429,0.004646986430765338,3.4433171448885464e-05,0.9915031209461025,0.9830380219160897
water,classical_linear,estimated_vs_esri_no_psf,167767,0.03373755530928164,0.011087748094148649,-8.637750806427368e-07,0.9611682342801325,0.9222091122822118
water,classical_linear,estimated_vs_esri_psf,167767,0.008282999361942465,0.002677792486206411,-1.241932317739881e-06,0.9974183918113397,0.994649858884967
water,classical_cubic,estimated_vs_esri_no_psf,167767,0.03048642741342028,0.00997094043430273,9.64821853538614e-07,0.96843194232091,0.9364794022160615
water,classical_cubic,estimated_vs_esri_psf,167767,0.004389546824733756,0.0013823403993822392,5.866646164414698e-07,0.9992585530349829,0.9984974485442879
water,esri_psf_degradation,esri_psf_vs_esri_no_psf,169644,0.027351761278622894,0.008961991887255228,-1.0860736724563268e-06,0.9751364375104045,0.9493661586037188
forest,psf_aware,estimated_vs_esri_no_psf,169683,0.02416088969718254,0.017035647676412247,1.0886573743002222e-05,0.9800833873843444,0.9604791444706311
forest,psf_aware,estimated_vs_esri_psf,169683,0.017111419912602593,0.011806839662268873,1.561855735448502e-06,0.9899436612048735,0.9770886437436068
forest,psf_aware_wide,estimated_vs_esri_no_psf,169683,0.046307428907110204,0.03387907041912745,2.1195986667051687e-05,0.9426306282835084,0.8548216589405814
forest,psf_aware_wide,estimated_vs_esri_psf,169683,0.05719217234090549,0.040882462978849635,1.1871268659497967e-05,0.9126679788651297,0.7440519141694011
forest,psf_aware_narrow,estimated_vs_esri_no_psf,169139,0.033349466186454256,0.023227037952493618,3.2126842557660463e-06,0.9621459578311459,0.9246656703614614
forest,psf_aware_narrow,estimated_vs_esri_psf,169139,0.01052031488912116,0.0065741953668327436,-4.158317330025395e-06,0.9956658012002613,0.9913373490548203
forest,richardson_lucy,estimated_vs_esri_no_psf,168403,0.0283617488704904,0.02002140151999023,0.00014715032373082145,0.9727477849281253,0.9455204333199301
forest,richardson_lucy,estimated_vs_esri_psf,168403,0.00638394477135116,0.004446010385964579,0.00014909933558113482,0.9985725564287575,0.9968105874715717
forest,classical_nearest,estimated_vs_esri_no_psf,167809,0.036316897413658705,0.02515089072989411,-2.4128758991685423e-05,0.9546724531186195,0.9106666160319163
forest,classical_nearest,estimated_vs_esri_psf,167809,0.015368823398053259,0.009515514112757455,-2.418582974798475e-05,0.990733841346808,0.9815121852997135
forest,classical_linear,estimated_vs_esri_no_psf,167809,0.03544565592399113,0.025013049909441483,3.8816787273235e-06,0.9575154081773227,0.9149014144146178
forest,classical_linear,estimated_vs_esri_psf,167809,0.00798994249785015,0.0053711468550167365,3.82460797102417e-06,0.9976201525191181,0.995003203682093
forest,classical_cubic,estimated_vs_esri_no_psf,167809,0.03257489931690642,0.022965453949134684,4.227805256952611e-06,0.9641658213539384,0.9281275464125593
forest,classical_cubic,estimated_vs_esri_psf,167809,0.004358829085464375,0.0029152807317631224,4.170734500653282e-06,0.9992652798269219,0.9985128868304899
forest,esri_psf_degradation,esri_psf_vs_esri_no_psf,169683,0.02942345761445003,0.020793349574733767,9.32471800755372e-06,0.9711151198227607,0.9413878159476511
agriculture,psf_aware,estimated_vs_esri_no_psf,169654,0.015508480652174937,0.009947316028998841,1.257848455599568e-06,0.9935063998927811,0.9870358463052537
