scene,method,comparison,n,rmse,mae,bias,corr,r2
urban,tikhonov_bicubic,estimated_vs_esri_no_psf,167797,0.0783335582833781,0.058991826831299575,-0.003228185996583507,0.9105245966543534,0.818583193534614
urban,tikhonov_bicubic,estimated_vs_esri_psf,167797,0.028422904549476307,0.02230490873153369,-0.0032262292758683813,0.9869026662077073,0.9537189968446509
urban,richardson_lucy_psf_projection,estimated_vs_esri_no_psf,169450,0.08025780076980484,0.059388322288667306,-4.727769536168201e-05,0.8999684398576682,0.8099429702603593
urban,richardson_lucy_psf_projection,estimated_vs_esri_psf,169450,0.059836376719889006,0.044999830200185456,-5.8802393259297574e-05,0.9437960850508293,0.795687166612244
water,tikhonov_bicubic,estimated_vs_esri_no_psf,167767,0.02450229914437204,0.008639488048942935,-0.0010667143511823337,0.9812751909802527,0.9620889342635286
water,tikhonov_bicubic,estimated_vs_esri_psf,167767,0.009628951951175987,0.003691293600225647,-0.0010582583785914063,0.9968666334792473,0.9933972857536955
water,richardson_lucy_psf_projection,estimated_vs_esri_no_psf,169417,0.024042292293810632,0.007772693624335666,4.262506406911102e-06,0.9802267850204771,0.9608444327167001
water,richardson_lucy_psf_projection,estimated_vs_esri_psf,169417,0.01854013549970321,0.0060399844057849325,7.68018750566661e-07,0.9881407002164571,0.9738076122748779
forest,tikhonov_bicubic,estimated_vs_esri_no_psf,167809,0.027323495171612894,0.019456264513278875,-0.0023307135979088282,0.9750050946838891,0.9494328109677408
forest,tikhonov_bicubic,estimated_vs_esri_psf,167809,0.009727222163389422,0.006981353269535161,-0.002330770668243335,0.9967114796942861,0.9925940289634501
forest,richardson_lucy_psf_projection,estimated_vs_esri_no_psf,169452,0.027804452692635775,0.01928404709048997,-1.1404561602113673e-05,0.973662261595468,0.9480181841492379
forest,richardson_lucy_psf_projection,estimated_vs_esri_psf,169452,0.019594375877437203,0.013291099097224802,-1.1617079320630656e-05,0.9868137646761114,0.9701312570340447
agriculture,tikhonov_bicubic,estimated_vs_esri_no_psf,167788,0.017914153641597496,0.011651969737560516,-0.003528554006014777,0.9918181788874307,0.982721800581162
agriculture,tikhonov_bicubic,estimated_vs_esri_psf,167788,0.007823065113165035,0.005684620217187227,-0.0035279258048985886,0.9986246727191387,0.9964893440909395
agriculture,richardson_lucy_psf_projection,estimated_vs_esri_no_psf,169446,0.015572556357142265,0.0085307552055983,-2.596992521138946e-05,0.9894474304954478,0.979003910099719
agriculture,richardson_lucy_psf_projection,estimated_vs_esri_psf,169446,0.012491089163505472,0.0072067332198042025,-2.5692060889667353e-05,0.993245959392274,0.9855609753568859
