regime,batch_size,repeat,batch_wall_s,fixed_build_s,mean_build_s,mean_solve_s,median_solve_s,s_per_item,items_per_hour,peak_rss_mib,peak_gpu_memory_mib,unique_patches_used,pool_size
same_pointing_shared,1,0,1.160407679155469,1.083862841129303,0.0,0.07474393025040627,0.07474393025040627,1.160407679155469,3102.357959764656,1780.6875,645.1376953125,1,40
same_pointing_rebuilt,1,0,1.1823882292956114,0.0,1.0963837867602706,0.07431394327431917,0.07431394327431917,1.1823882292956114,3044.6852487229526,1781.515625,645.1376953125,1,40
different_pointing,1,0,1.2136952625587583,0.0,1.1098375618457794,0.07447902765125036,0.07447902765125036,1.2136952625587583,2966.148184850243,1773.90234375,645.09033203125,1,40
same_pointing_shared,2,0,1.2797963880002499,1.1281397817656398,0.0,0.07423515385016799,0.07423515385016799,0.6398981940001249,5625.894921652642,1782.046875,645.1376953125,1,40
same_pointing_rebuilt,2,0,2.3794259149581194,0.0,1.102573784533888,0.07471620664000511,0.07471620664000511,1.1897129574790597,3025.9399776801743,1782.8359375,720.67431640625,1,40
different_pointing,2,0,2.4128112327307463,0.0,1.1012237532995641,0.07418270921334624,0.07418270921334624,1.2064056163653731,2984.070988367896,1780.79296875,645.1572265625,2,40
same_pointing_shared,4,0,1.3766236836090684,1.0726522812619805,0.0,0.07446160935796797,0.0744774891063571,0.3441559209022671,10460.375025836975,1786.60546875,645.1376953125,1,40
same_pointing_rebuilt,4,0,3.7011848213151097,0.0,0.8398258632514626,0.07302065123803914,0.07284823153167963,0.9252962053287774,3890.6460215308493,1788.53515625,720.943359375,1,40
different_pointing,4,0,3.3120425483211875,0.0,0.726162102073431,0.07136255176737905,0.07126753637567163,0.8280106370802969,4347.770232390007,1789.03515625,645.20947265625,4,40
same_pointing_shared,8,0,1.301473543047905,0.7148358970880508,0.0,0.0722471111221239,0.07243361510336399,0.16268419288098812,22128.763318963545,1789.0078125,645.1376953125,1,40
same_pointing_rebuilt,8,0,8.35493349749595,0.0,0.9565011246595532,0.07392439618706703,0.07432985911145806,1.0443666871869937,3447.065139253547,1794.8125,721.15625,1,40
different_pointing,8,0,6.873962792567909,0.0,0.7534896902507171,0.07186558551620692,0.07180535746738315,0.8592453490709886,4189.722998084657,1797.7265625,645.21337890625,8,40
same_pointing_shared,16,0,1.9373606387525797,0.7520481990650296,0.0,0.07301979506155476,0.07277455693110824,0.12108503992203623,29731.170773185146,1797.33984375,645.1376953125,1,40
same_pointing_rebuilt,16,0,13.362244583666325,0.0,0.7482684873975813,0.07338025089120492,0.07220049249008298,0.8351402864791453,4310.653022352907,1801.51171875,723.0478515625,1,40
different_pointing,16,0,14.166511306539178,0.0,0.7750186573830433,0.07229407533304766,0.07221226021647453,0.8854069566586986,4065.9269423243377,1801.578125,902.2197265625,16,40
same_pointing_shared,32,0,3.5164387188851833,1.05859315674752,0.0,0.07536304462701082,0.07530503021553159,0.10988870996516198,32760.417345342466,1801.0546875,645.1376953125,1,40
same_pointing_rebuilt,32,0,27.371864527463913,0.0,0.7692887372395489,0.07234793459065259,0.07230646023526788,0.8553707664832473,4208.701233502475,1802.22265625,724.29296875,1,40
different_pointing,32,0,26.639576968736947,0.0,0.7269037027435843,0.07213338671135716,0.0723048783838749,0.8324867802730296,4324.392993747376,1803.14453125,902.2197265625,32,40
same_pointing_shared,64,0,5.484400252811611,0.7004578076303005,0.0,0.07360806693031918,0.07318349182605743,0.08569375395018142,42010.06297486841,1767.34375,645.1376953125,1,40
same_pointing_rebuilt,64,0,59.71708625461906,0.0,0.8461399185762275,0.0730503048398532,0.0727123967371881,0.9330794727284228,3858.1922603797298,1805.69921875,724.29296875,1,40
different_pointing,64,0,55.12397297844291,0.0,0.758085606052191,0.07248522840382066,0.07233840227127075,0.8613120777881704,4179.6697072270445,1808.00390625,902.2197265625,31,40
same_pointing_shared,128,0,10.27979599032551,0.7219324298202991,0.0,0.07363765233458253,0.07338860537856817,0.08031090617441805,44825.79230498997,1771.19921875,645.1376953125,1,40
same_pointing_rebuilt,128,0,92.99069141596556,0.0,0.6398840506517445,0.07261065432976466,0.07255033496767282,0.7264897766872309,4955.334700532029,1810.37890625,724.29296875,1,40
different_pointing,128,0,65.44870156329125,0.0,0.4035370473720832,0.07354705810575979,0.07355608744546771,0.5113179809632129,7040.62859909283,1810.72265625,645.21337890625,38,40
same_pointing_shared,256,0,19.888315348885953,0.7615107204765081,0.0,0.07367829526265268,0.0733376070857048,0.07768873183158576,46338.766448191076,1811.35546875,645.1376953125,1,40
same_pointing_rebuilt,256,0,217.47326850518584,0.0,0.763218064144894,0.0723197089646419,0.07227347791194916,0.8495049550983822,4237.762214798476,1814.921875,724.689453125,1,40
different_pointing,256,0,225.93746510427445,0.0,0.7741950642266602,0.07248202317714458,0.07224302040413022,0.8825682230635721,4079.0047793740805,1815.453125,902.2197265625,40,40
same_pointing_shared,512,0,38.89890340808779,0.7516353242099285,0.0,0.07352160157279286,0.07324034534394741,0.07597442071892146,47384.369185501644,1814.63671875,645.1376953125,1,40
same_pointing_rebuilt,512,0,432.98605949804187,0.0,0.759454925020691,0.07217099205445265,0.07208335073664784,0.845675897457113,4256.949986188494,1820.52734375,724.689453125,1,40
different_pointing,512,0,468.97382396645844,0.0,0.809107665269039,0.07303953735390678,0.07267038244754076,0.9159644999344891,3930.283324580239,1825.95703125,902.2197265625,40,40
same_pointing_shared,1024,0,77.43245290312916,0.7821079771965742,0.0,0.07384595092662494,0.0736208581365645,0.07561762978821207,47607.94552914166,1785.4296875,645.1376953125,1,40
same_pointing_rebuilt,1024,0,990.103518139571,0.0,0.8791902901657522,0.07339514089835575,0.07294002082198858,0.9668979669331748,3723.2470468611573,1833.39453125,724.689453125,1,40
different_pointing,1024,0,941.5007701376453,0.0,0.8140116980421226,0.07215868846560625,0.07216535648331046,0.9194343458375442,3915.450859866059,1844.53515625,902.2197265625,40,40
same_pointing_shared,2048,0,154.53809109237045,0.7503769034519792,0.0,0.07407341247153454,0.07379085756838322,0.07545805229119651,47708.626060309834,1814.69140625,645.1376953125,1,40
same_pointing_rebuilt,2048,0,1762.8372278390452,0.0,0.774257644579393,0.072206037367323,0.07200191356241703,0.8607603651557838,4182.348706714043,1848.0625,724.689453125,1,40
different_pointing,2048,0,1777.3866145648062,0.0,0.7615166929213046,0.07207835159169917,0.07178365858271718,0.8678645578929718,4148.112706365369,1851.83203125,902.2197265625,40,40
