scene,geoloc_sigma_px,geoloc_sigma_m,lam,rmse_vs_no_psf,rmse_std,n_realizations,n_cells
agriculture,0.0,0.0,0.01,0.015634734590961482,0.0,1,169654
agriculture,0.1,1.0,0.01,0.0197956390925299,0.00010000457537309007,10,169654
agriculture,0.2,2.0,0.01,0.03148455523481976,0.00028501121950062357,10,169654
agriculture,0.4,4.0,0.01,0.05991402009897675,0.0006301092678858317,10,169649
forest,0.0,0.0,0.01,0.024433052663665716,0.0,1,169683
forest,0.1,1.0,0.01,0.028062233567891625,7.96643963012814e-05,10,169683
forest,0.2,2.0,0.01,0.03933813869766897,0.0002782032330785736,10,169683
forest,0.4,4.0,0.01,0.06934299218335524,0.0005019172121592075,10,169678
urban,0.0,0.0,0.01,0.0692645358772546,0.0,1,169675
urban,0.1,1.0,0.01,0.07869905854415273,9.827059126656226e-05,10,169675
urban,0.2,2.0,0.01,0.10839540317836098,0.0003771593685678505,10,169675
urban,0.4,4.0,0.01,0.18840312245398488,0.0013756757474005718,10,169665
water,0.0,0.0,0.01,0.021427795870886637,0.0,1,169644
water,0.1,1.0,0.01,0.025226251550613688,0.0001279646132106245,10,169644
water,0.2,2.0,0.01,0.03653994824870958,0.0004377891984400645,10,169644
water,0.4,4.0,0.01,0.06519839736239116,0.0007917060872906621,10,169640
