scene_class,method,n_regions,n_patches,rmse_region_mean,rmse_region_sd,rmse_ci95_low,rmse_ci95_high,recovery_region_mean,recovery_ci95_low,recovery_ci95_high
agriculture,bicubic,10,90,0.03147190270085201,0.01244303305327468,0.024723976369864908,0.03940013433343223,-0.14049753913139057,-0.14900163406161798,-0.13374396305967734
agriculture,bilinear,10,90,0.034654778054051615,0.013505737711248798,0.027261707714080267,0.04320588202894093,-0.25842160487467064,-0.2737741817523858,-0.24512060497918736
agriculture,blurred_observation,10,90,0.02763042945684378,0.010998180311832199,0.021692093773958032,0.03463364111032774,0.0,0.0,0.0
agriculture,nearest,10,90,0.03332224769590382,0.013008903452853403,0.026231756917688538,0.04156744853425745,-0.2097908800355821,-0.22171423307998064,-0.19948925344192417
agriculture,psf_aware_matched,10,90,0.0222999663665727,0.009199908585929971,0.017389130464403837,0.028225689560831543,0.19557973184421318,0.18009436396955106,0.2105654555500739
agriculture,psf_aware_minus50,10,90,0.031853773200675894,0.01248066686534983,0.02507130144539414,0.03976141988673082,-0.1562227343856224,-0.16436805150503023,-0.1489963777125537
agriculture,psf_aware_plus50,10,90,0.04313424298732454,0.016653778154973823,0.03391504463786982,0.053547327930264975,-0.5681570970683943,-0.6142719304596631,-0.52674975760946
forest,bicubic,10,90,0.03456826958727575,0.012461150167257991,0.02808313689868522,0.04258597953393105,-0.12036441105581805,-0.12747715974834975,-0.11391337233589609
forest,bilinear,10,90,0.03737732129469012,0.013823777220078002,0.030155156466021838,0.04625618087320786,-0.2086776418976624,-0.22771220544663207,-0.191990009858888
forest,blurred_observation,10,90,0.03078964302503672,0.010829078464065422,0.025164729406875714,0.03781224155102095,0.0,0.0,0.0
forest,nearest,10,90,0.03611184114160488,0.013271823819469942,0.029201281444842495,0.044667725167172635,-0.16864002253716187,-0.1842009855008656,-0.1547171615579811
forest,psf_aware_matched,10,90,0.02591154480583684,0.008636537601556622,0.021405357224710674,0.03155115570992719,0.15373168985252333,0.1368045864760555,0.17310586916960227
forest,psf_aware_minus50,10,90,0.03471484352086261,0.012651005365613541,0.02814024016066716,0.04284594598246725,-0.12450521889375883,-0.13589036309966346,-0.11435779390654315
forest,psf_aware_plus50,10,90,0.04610414263238784,0.017356172054431913,0.03696730422470991,0.05725729164906724,-0.487332380955931,-0.520831963525129,-0.4575314183592712
urban,bicubic,10,90,0.07223194042223068,0.020670681332495684,0.0598725945075113,0.08410518973264139,-0.13717112606967896,-0.14022478938317082,-0.13377848263098632
urban,bilinear,10,90,0.07935708068558993,0.022461250888532965,0.06587773952980716,0.09219024176324518,-0.2502916809008822,-0.2589049242961703,-0.24112824402557548
urban,blurred_observation,10,90,0.0634849419030809,0.018215686260203912,0.052569233444951055,0.07394604356870442,0.0,0.0,0.0
urban,nearest,10,90,0.0762095593157151,0.02159309952065374,0.06326421566308547,0.08858017072119552,-0.2013728965400589,-0.20780041976068153,-0.19466869504893422
urban,psf_aware_matched,10,90,0.05107526474363759,0.015298204819000537,0.04197057646082958,0.05997075899170191,0.19622509516865294,0.18228197908235522,0.21017766561508783
urban,psf_aware_minus50,10,90,0.07270052013915435,0.020648518595545368,0.06028436656112426,0.08459591215790366,-0.14708687337020127,-0.15214854660844193,-0.1421503425508623
urban,psf_aware_plus50,10,90,0.09941254686875112,0.028571967645606607,0.08213008475745463,0.1157011439626449,-0.5637183780323369,-0.59993423611651,-0.5301616697873206
water,bicubic,10,88,0.015190266578472505,0.009745636505433277,0.009189796478564733,0.020814533852414798,-0.12469296434741824,-0.1414273476996559,-0.10513969310147663
water,bilinear,10,88,0.01648796117876717,0.010584023072842714,0.00996825420186399,0.022552926012524985,-0.2260077041276028,-0.2665288336296374,-0.1811855715665513
water,blurred_observation,10,88,0.013544572791884157,0.008671971782662087,0.008187501368503183,0.018549344994738804,0.0,0.0,0.0
water,nearest,10,88,0.015935789969718766,0.01021687495654802,0.009626919500553987,0.021809336194426217,-0.18826660112892174,-0.2252368517891255,-0.14816740826180552
water,psf_aware_matched,10,88,0.011388954309646065,0.00745725653811049,0.0068866307496968536,0.015704287676717874,0.15792470820966165,0.12109542544267204,0.1934355054542258
water,psf_aware_minus50,10,88,0.015337531408395782,0.009821096678876666,0.009273779536657034,0.02100708684150031,-0.14692160370836105,-0.17826852564188456,-0.1145597645103246
water,psf_aware_plus50,10,88,0.020136829578175884,0.013165002528562873,0.012019638733662824,0.027777721189944034,-0.49270639566430835,-0.5583224324377196,-0.40833700798904976
