scene_class,reference_method,competitor,n_regions,n_patches,mean_paired_delta_rmse,delta_ci95_low,delta_ci95_high,matched_win_fraction
agriculture,psf_aware_matched,psf_aware_plus50,10,90,0.02083427662075184,0.016369119452669095,0.025611146900568746,1.0
forest,psf_aware_matched,psf_aware_plus50,10,90,0.020192597826550994,0.015457211552209183,0.025872858368055605,1.0
urban,psf_aware_matched,psf_aware_plus50,10,90,0.04833728212511354,0.03979198700952938,0.05639112269752195,1.0
water,psf_aware_matched,psf_aware_plus50,10,88,0.008747875268529817,0.004841941077652888,0.012739536867424633,1.0
agriculture,psf_aware_matched,psf_aware_minus50,10,90,0.0095538068341032,0.007563414735966873,0.011716924627113762,1.0
forest,psf_aware_matched,psf_aware_minus50,10,90,0.008803298715025772,0.006560044539662965,0.01150857933372075,1.0
urban,psf_aware_matched,psf_aware_minus50,10,90,0.021625255395516737,0.018156751158753648,0.024855565158780363,1.0
water,psf_aware_matched,psf_aware_minus50,10,88,0.00394857709874972,0.002194906927464942,0.005717966733642483,1.0
agriculture,psf_aware_matched,nearest,10,90,0.011022281329331113,0.008721799588757012,0.013518606862695782,1.0
forest,psf_aware_matched,nearest,10,90,0.010200296335768038,0.007622745231871105,0.0133051673114835,1.0
urban,psf_aware_matched,nearest,10,90,0.025134294572077498,0.02107273440189188,0.028929414398907193,1.0
water,psf_aware_matched,nearest,10,88,0.004546835660072701,0.0025301401988052637,0.006580411130527394,1.0
agriculture,psf_aware_matched,bilinear,10,90,0.012354811687478918,0.009770354291538148,0.0151562888023228,1.0
forest,psf_aware_matched,bilinear,10,90,0.01146577648885327,0.008579048219167435,0.014922435854683778,1.0
urban,psf_aware_matched,bilinear,10,90,0.02828181594195233,0.023656416764833484,0.03263408159956468,1.0
water,psf_aware_matched,bilinear,10,88,0.005099006869121099,0.0028520451193705595,0.0073679599943780325,1.0
agriculture,psf_aware_matched,bicubic,10,90,0.009171936334279315,0.0072269116052392605,0.011287419982938899,1.0
forest,psf_aware_matched,bicubic,10,90,0.008656724781438902,0.006541696223486522,0.011206440321678512,1.0
urban,psf_aware_matched,bicubic,10,90,0.021156675678593074,0.01769564360566898,0.024413668787375917,1.0
water,psf_aware_matched,bicubic,10,88,0.0038013122688264392,0.0021413011596758077,0.005465498357482111,1.0
