scene_class,method,n_regions,n_patches,mean_rmse,between_region_sd
agriculture,psf_aware_matched,10,10,0.02495217117028061,0.021497463065520105
agriculture,richardson_lucy,10,10,0.02859145336223535,0.024046507934670565
agriculture,tikhonov_bicubic,10,10,0.02935684790091308,0.024218307839090604
forest,psf_aware_matched,10,10,0.026690500368219468,0.013873137874129044
forest,richardson_lucy,10,10,0.02997349026115013,0.01569789818293792
forest,tikhonov_bicubic,10,10,0.030554655063185693,0.01587523640245335
urban,psf_aware_matched,10,10,0.05921321244349761,0.008982064519013315
urban,richardson_lucy,10,10,0.06795937676266009,0.009836636221720232
urban,tikhonov_bicubic,10,10,0.06917775011408502,0.009894251553867793
water,psf_aware_matched,10,10,0.00573925409243956,0.0055263969161734065
water,richardson_lucy,10,10,0.00620928732198546,0.005917452947703407
water,tikhonov_bicubic,10,10,0.006569564919786219,0.005795600112836061
