scene,psf_config,assumed_fwhm_m,snr,noise_std,lam,noise_model,rmse_vs_no_psf,rmse_std,noise_penalty,noise_penalty_std,regularization_noise_gain,regularization_noise_gain_std,regularization_noise_gain_pct,regularization_noise_gain_pct_std,n_realizations,n_cells
agriculture,matched,12.5,5.0,0.026345751984639027,0.0,correlated,0.03212016173463925,2.4653176522763454e-05,0.016621594314281486,2.4653176522763406e-05,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.0,white,0.08139154540822897,0.0002682215330597689,0.0658929779878712,0.0002682215330597689,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.001,correlated,0.03212025176514958,2.4447049956590332e-05,0.016611770971823408,2.4447049956589485e-05,9.823342458077643e-06,8.883986517538303e-07,0.030582644346216426,0.002759808512054286,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.001,white,0.07978383539142037,0.0002470596084530984,0.06427535459809419,0.0002470596084530984,0.0016176233897770079,2.259273904554894e-05,1.9874003277524426,0.021811722518618206,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.01,correlated,0.03214288483063644,2.386867794545768e-05,0.01650815037418795,2.3868677945457225e-05,0.00011344394009353484,5.101500163935092e-06,0.35318347191552546,0.01581411105154084,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.01,white,0.06943320366147693,0.0001356545408971128,0.05379846920502843,0.00013565454089711228,0.012094508782842763,0.00014540411021287967,14.8592983267323,0.13320161572714156,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.1,correlated,0.03262994558088673,2.4450353280346476e-05,0.015442044205833358,2.445035328034549e-05,0.001179550108448129,1.2717301976944005e-05,3.6722988455729806,0.03891559825635792,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.1,white,0.04350629081986972,4.6312462175358565e-05,0.02631838944481634,4.631246217535815e-05,0.03957458854305486,0.0002718033478300939,48.62197753152389,0.17909051702417156,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,1.0,correlated,0.03437384604102222,3.63332736535857e-05,0.012241202106459492,3.63332736535854e-05,0.004380392207821994,3.430387233586162e-05,13.637503009675774,0.10441488442919847,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,1.0,white,0.029657624870167966,5.390507241137321e-05,0.007524980935605233,5.390507241137341e-05,0.05836799705226596,0.00028054410752033576,71.71230061012533,0.12162169352643334,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.0,correlated,0.020933971540604016,8.497648514746616e-06,0.005435404120246247,8.497648514746683e-06,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.0,white,0.04283823865876928,0.00013095239223878249,0.027339671238411516,0.0001309523922387807,0.0,0.0,0.0,0.0,10,169654
