Scene,Comparison,PSF-aware RMSE,PSF-aware +50% RMSE,PSF-aware -50% RMSE,Richardson-Lucy RMSE,Nearest RMSE,Bilinear RMSE,Bicubic RMSE
urban,Estimated vs. ESRI no-PSF,0.06840901816779728,0.14265700421397123,0.09801619708249994,0.08225259879734194,0.1056701436432519,0.10507941766686205,0.09603357935057018
urban,Estimated vs. ESRI PSF,0.05253660085689667,0.1801657066696303,0.031103459228537533,0.01893535776002002,0.04203683154452804,0.02444058036718707,0.013541588273436735
urban,ESRI PSF vs. ESRI no-PSF (degradation),0.08591246402299321,,,,,,
water,Estimated vs. ESRI no-PSF,0.021139089253562445,0.045639314502787416,0.03133301925560345,0.02562921497947667,0.03425134489270012,0.03375585144265754,0.030503568214661606
water,Estimated vs. ESRI PSF,0.01702342387405856,0.059020997808795356,0.010156311444098096,0.006585851501199585,0.01475521931908414,0.008287148322644499,0.004392094083494895
water,ESRI PSF vs. ESRI no-PSF (degradation),0.02736673050939951,,,,,,
forest,Estimated vs. ESRI no-PSF,0.024193317029093764,0.04635058455096666,0.033383917935055636,0.028395141263885284,0.03635423499706352,0.03548231051617767,0.03261004110679218
forest,Estimated vs. ESRI PSF,0.017125115151021653,0.05723694869579732,0.010526493402658632,0.006389323987168288,0.015381685813881852,0.007996337962649952,0.004362408195140727
forest,ESRI PSF vs. ESRI no-PSF (degradation),0.029457253859229496,,,,,,
agriculture,Estimated vs. ESRI no-PSF,0.015516564455922324,0.03077864843894073,0.022419776583122105,0.018445866528007573,0.025477246086657752,0.023776482563395877,0.021394267353276607
agriculture,Estimated vs. ESRI PSF,0.011686900440198036,0.039235286489365084,0.008593685045138884,0.004999182923693197,0.013436077744014082,0.006027582911507232,0.0030508497591360964
agriculture,ESRI PSF vs. ESRI no-PSF (degradation),0.0191173086169271,,,,,,
