scene,method,comparison,n,rmse,mae,bias,corr,r2
urban,tikhonov_bicubic,estimated_vs_esri_no_psf,167797,0.07833355828463925,0.05899182683010349,-0.003228185994410567,0.9105245966455365,0.818583193526162
urban,tikhonov_bicubic,estimated_vs_esri_psf,167797,0.028422904551326695,0.02230490873262432,-0.003226229274028459,0.9869026662073805,0.9537189968395332
urban,richardson_lucy_psf_projection,estimated_vs_esri_no_psf,169450,0.08025780076980484,0.059388322288667306,-4.727769536168201e-05,0.8999684398576682,0.8099429702603593
urban,richardson_lucy_psf_projection,estimated_vs_esri_psf,169450,0.059836376719889006,0.044999830200185456,-5.8802393259297574e-05,0.9437960850508293,0.795687166612244
water,tikhonov_bicubic,estimated_vs_esri_no_psf,167767,0.024416763819175992,0.008124825247757766,-0.0008139625871062447,0.9798581202093612,0.9592546818641379
water,tikhonov_bicubic,estimated_vs_esri_psf,167767,0.009792460047469587,0.0035044325177068032,-0.0008143407443433418,0.9964721772476652,0.9925222042606081
water,richardson_lucy_psf_projection,estimated_vs_esri_no_psf,169417,0.024042292293810632,0.007772693624335666,4.262506406911102e-06,0.9802267850204771,0.9608444327167001
water,richardson_lucy_psf_projection,estimated_vs_esri_psf,169417,0.01854013549970321,0.0060399844057849325,7.68018750566661e-07,0.9881407002164571,0.9738076122748779
forest,tikhonov_bicubic,estimated_vs_esri_no_psf,167809,0.02732349517247222,0.01945626451404476,-0.002330713596898747,0.9750050946824197,0.9494328109647919
forest,tikhonov_bicubic,estimated_vs_esri_psf,167809,0.00972722216422691,0.006981353270367646,-0.002330770667655046,0.9967114796933667,0.992594028962222
forest,richardson_lucy_psf_projection,estimated_vs_esri_no_psf,169452,0.027804452692635775,0.01928404709048997,-1.1404561602113673e-05,0.973662261595468,0.9480181841492379
forest,richardson_lucy_psf_projection,estimated_vs_esri_psf,169452,0.019594375877437203,0.013291099097224802,-1.1617079320630656e-05,0.9868137646761114,0.9701312570340447
agriculture,tikhonov_bicubic,estimated_vs_esri_no_psf,167788,0.017914153641444823,0.011651969737315944,-0.003528554006613894,0.9918181788877826,0.9827218005816544
agriculture,tikhonov_bicubic,estimated_vs_esri_psf,167788,0.007823065113435407,0.0056846202169204526,-0.0035279258048094325,0.9986246727190518,0.9964893440906845
agriculture,richardson_lucy_psf_projection,estimated_vs_esri_no_psf,169446,0.015572556357142265,0.0085307552055983,-2.596992521138946e-05,0.9894474304954478,0.979003910099719
agriculture,richardson_lucy_psf_projection,estimated_vs_esri_psf,169446,0.012491089163505472,0.0072067332198042025,-2.5692060889667353e-05,0.993245959392274,0.9855609753568859
